category,post_month,mean_shock,sd_shock,n_countries,se,ci_l,ci_u,significant
Multilateral / third-party meeting,1,0.18614361783418323,0.22574071081250313,3,0.13033146015465616,-0.06930604406894283,0.44159327973730933,
Multilateral / third-party meeting,3,-0.07290193296857017,0.32391955994572974,3,0.1870150451304522,-0.43945142142425647,0.29364755548711613,
Multilateral / third-party meeting,6,-0.7084702688364531,1.1239713471064512,3,0.648925159813336,-1.9803635820705918,0.5634230443976854,
Multilateral / third-party meeting,12,-0.1558340358481682,0.6520832313141499,3,0.37648042913326546,-0.8937356769493685,0.582067605253032,
Negative strategic positioning,0,0.0069846142750842055,0.450431465456494,5,0.20143907519311377,-0.3878359731034188,0.40180520165358724,
Negative strategic positioning,1,0.2907727618328014,1.0579929202977527,5,0.4731488178998584,-0.6365989212509211,1.2181444449165237,
Negative strategic positioning,3,0.4538464145963255,0.9520604043694553,4,0.47603020218472764,-0.4791727816857407,1.3868656108783917,
Negative strategic positioning,6,0.5016145571228341,0.9115420245503844,4,0.4557710122751922,-0.3916966269365426,1.394925741182211,
Negative strategic positioning,12,0.13306582214366408,1.1608493524183319,4,0.5804246762091659,-1.0045665432263011,1.2706981875136292,
Pandemic / crisis aid,0,0.8944952780018177,1.585778695365716,11,0.47813026664248887,-0.042640044617460404,1.8316306006210958,
Pandemic / crisis aid,1,0.7313711423721221,2.1271463393254897,11,0.6413587528836963,-0.5256920132799225,1.9884342980241667,
Pandemic / crisis aid,3,0.923075050489499,1.915290502237109,11,0.5774818145865309,-0.2087893061001015,2.0549394070790994,
Pandemic / crisis aid,6,0.16489117226579364,1.7094289975363979,11,0.5154122355074179,-0.8453168093287454,1.1750991538603328,
Pandemic / crisis aid,12,0.5172615657243176,1.814047990030087,11,0.5469560486025611,-0.5547722895367022,1.5892954209853374,
Pandemic / disaster shock,0,-0.2487523034407554,2.6794540795413817,7,1.0127384491262823,-2.2337196637282686,1.7362150568467578,
Pandemic / disaster shock,1,0.38462688763825814,1.85380674844507,7,0.7006730907369899,-0.988692370206242,1.7579461454827583,
Pandemic / disaster shock,3,-0.024110318314917046,1.2673993132261887,7,0.4790319135157929,-0.9630128688058711,0.914792232176037,
Pandemic / disaster shock,6,0.165621242164088,1.9714119856749162,7,0.7451236922496939,-1.294821194645312,1.626063678973488,
Pandemic / disaster shock,12,-0.5665937955967767,2.1461018080712755,7,0.8111502389118093,-2.156448263863923,1.0232606726703692,
Policy shift / domestic politics,0,-0.38743696146859785,1.2921799797923448,5,0.5778804547959975,-1.5200826528687528,0.7452087299315572,
Policy shift / domestic politics,1,-0.32962735871128024,1.2011847858767823,5,0.5371861669518029,-1.3825122459368138,0.7232575285142534,
Policy shift / domestic politics,3,-0.42287371564950027,1.8623123799190884,5,0.8328514153676991,-2.0552624897701905,1.2095150584711898,
Policy shift / domestic politics,6,-0.2663784735025921,1.2487040258227928,5,0.5584374171034835,-1.3609158110254196,0.8281588640202355,
Policy shift / domestic politics,12,-0.40344017233556134,1.2033197844168555,5,0.5381409673252961,-1.4581964682931419,0.6513161236220191,
Security threat,0,-0.36250198079742324,0.5362403790785948,3,0.3095985272113737,-0.9693150941317157,0.2443111325368692,
