db,spec,trade,h,Est,SE,pv,cum,n
ICEWS,IW-Export,Trade_Imports,6,-0.000459374731353495,0.0099462913752346,0.9631623761435,-0.00528676749281928,6525
ICEWS,IW-Import,Trade_Total,0,-0.000424816689741074,0.00664767699845593,0.949046243371617,-0.00816240643971137,6681
ICEWS,IW-Import,Trade_Total,1,-0.00311432914374593,0.00665946310343358,0.64003154914572,-0.00816240643971137,6656
ICEWS,IW-Import,Trade_Total,2,-0.00084729294290421,0.00584501862464092,0.884742582772361,-0.00816240643971137,6631
ICEWS,IW-Import,Trade_Total,3,-0.00257826178232128,0.00537403927137168,0.631396377686875,-0.00816240643971137,6606
ICEWS,IW-Import,Trade_Total,4,-0.000854978677984458,0.00543883249471353,0.875088067298731,-0.00816240643971137,6581
ICEWS,IW-Import,Trade_Total,5,-0.00011314636693929,0.00630368481597897,0.985679345554491,-0.00816240643971137,6556
ICEWS,IW-Import,Trade_Total,6,-0.000229580836075127,0.00572524321397877,0.968013599094027,-0.00816240643971137,6531
ICEWS,IW-Import,Trade_Exports,0,0.00638396395498922,0.00395463978836222,0.106462976197981,0.0204689177423515,6681
ICEWS,IW-Import,Trade_Exports,1,0.00266505509199359,0.0040833163940279,0.513969523709881,0.0204689177423515,6656
ICEWS,IW-Import,Trade_Exports,2,0.004246610559104,0.00372903395761311,0.254788071078931,0.0204689177423515,6631
