type,group,trade,horizon,estimate,se,pval,sig,ci_lower,ci_upper,trade_label
valence,Event_Positive,Trade_Exports,3,0.0186925733404729,0.0164281552750949,0.255188286786732,"",-0.0135066109987131,0.0508917576796589,出口
valence,Event_Negative,Trade_Exports,3,0.00265055766121694,0.0139518229189262,0.849325345187483,"",-0.0246950152598785,0.0299961305823123,出口
valence,Event_Neutral,Trade_Exports,3,-0.00367440033906357,0.00775151847252092,0.635483294526758,"",-0.0188673765452046,0.0115185758670774,出口
valence,Event_Positive,Trade_Exports,6,0.0146469147448414,0.0150151903994962,0.329325624940988,"",-0.0147828584381712,0.044076687927854,出口
valence,Event_Negative,Trade_Exports,6,0.0101514152884196,0.0141195380416824,0.472164159903504,"",-0.0175228792732778,0.037825709850117,出口
valence,Event_Neutral,Trade_Exports,6,0.00321316706224042,0.00742574590102595,0.665228149569177,"",-0.0113412949037704,0.0177676290282513,出口
valence,Event_Positive,Trade_Exports,12,0.00270379018226722,0.0109391042500386,0.804778657700921,"",-0.0187368541478084,0.0241444345123429,出口
valence,Event_Negative,Trade_Exports,12,-0.0384095145589674,0.0199915148292714,0.0546950497960077,*,-0.0775928836243392,0.000773854506404506,出口
valence,Event_Neutral,Trade_Exports,12,0.0355298733923602,0.0109652962249675,0.0011944128191917,***,0.0140378927914239,0.0570218539932966,出口
valence,Event_Positive,Trade_Imports,0,-0.0040041720260959,0.0205402050697769,0.84543746294882,"",-0.0442629739628585,0.0362546299106667,进口
valence,Event_Negative,Trade_Imports,0,-0.00702502347328467,0.0208450429357273,0.736108075969724,"",-0.0478813076273102,0.0338312606807409,进口
valence,Event_Neutral,Trade_Imports,0,0.0132283952733572,0.00823522429814618,0.108203890755119,"",-0.00291264435100931,0.0293694348977237,进口
valence,Event_Positive,Trade_Imports,1,-0.00531578450422619,0.0180709611781602,0.768634352120894,"",-0.0407348684134202,0.0301032994049678,进口
valence,Event_Negative,Trade_Imports,1,-0.0176246478895004,0.0218760232818429,0.420438630119386,"",-0.0605016535219125,0.0252523577429116,进口
valence,Event_Neutral,Trade_Imports,1,0.0173696732806432,0.00721302325846258,0.016035836849164,**,0.00323214769405653,0.0315071988672298,进口
valence,Event_Positive,Trade_Imports,3,0.0145574841957873,0.0185852987026282,0.433462975989039,"",-0.021869701261364,0.0509846696529385,进口
valence,Event_Negative,Trade_Imports,3,-0.0120809604892253,0.0205607411147821,0.556818149705091,"",-0.0523800130741981,0.0282180920957475,进口
valence,Event_Neutral,Trade_Imports,3,0.0256668789058941,0.00953050176434294,0.00707846923396876,***,0.00698709544778197,0.0443466623640063,进口
valence,Event_Positive,Trade_Imports,6,0.0155684025631676,0.0183686143551366,0.3966860985561,"",-0.0204340815729,0.0515708866992353,进口
valence,Event_Negative,Trade_Imports,6,-0.0349967200767009,0.0303749047180501,0.249255739024908,"",-0.094531533324079,0.0245380931706772,进口
valence,Event_Neutral,Trade_Imports,6,0.0128677575762556,0.00865582597102437,0.137120283638435,"",-0.00409766132695221,0.0298331764794633,进口
valence,Event_Positive,Trade_Imports,12,0.00636494625842636,0.0189066862341719,0.736380347240485,"",-0.0306921587605507,0.0434220512774034,进口
valence,Event_Negative,Trade_Imports,12,-0.0147782668253024,0.0327240049230133,0.651554831605067,"",-0.0789173164744083,0.0493607828238036,进口
valence,Event_Neutral,Trade_Imports,12,0.00549747088975031,0.010381301729807,0.596420457868112,"",-0.0148498805006714,0.025844822280172,进口
visit,V_RemoteTalk,Trade_Total,0,-0.148058731313354,0.0377274441887727,8.69351649774979e-05,***,-0.222004521923348,-0.0741129407033591,总贸易
visit,V_China_Outbound,Trade_Total,0,0.0366264116118083,0.0149586352557989,0.0143447287295785,**,0.00730748651044248,0.0659453367131742,总贸易
visit,V_Partner_Inbound,Trade_Total,0,0.0241612934657077,0.0179283354837434,0.177767890984674,"",-0.0109782440824293,0.0593008310138447,总贸易
visit,V_ThirdParty,Trade_Total,0,0.0177250200445037,0.0107189466507224,0.0982055907828521,*,-0.00328411539091221,0.0387341554799196,总贸易
visit,V_RemoteTalk,Trade_Total,1,-0.150708707514718,0.0457430252607364,0.000985332255076091,***,-0.240365037025762,-0.0610523780036751,总贸易
visit,V_China_Outbound,Trade_Total,1,0.0275729627082588,0.0124369397027674,0.026621622405797,**,0.00319656089083465,0.051949364525683,总贸易
visit,V_Partner_Inbound,Trade_Total,1,0.0194325957110471,0.0203524025621166,0.339675821802913,"",-0.0204581133107015,0.0593233047327956,总贸易
visit,V_ThirdParty,Trade_Total,1,0.0102801113546372,0.0113358644476329,0.364477601846782,"",-0.0119381829627232,0.0324984056719976,总贸易
visit,V_RemoteTalk,Trade_Total,3,-0.166337981334521,0.0580710543589914,0.00417817014512791,***,-0.280157247878145,-0.0525187147908982,总贸易
visit,V_China_Outbound,Trade_Total,3,0.0164483138855449,0.0140806616552678,0.242746580668014,"",-0.01114978295878,0.0440464107298697,总贸易
visit,V_Partner_Inbound,Trade_Total,3,0.025568617082127,0.0174357745025234,0.142526895577847,"",-0.00860550094281896,0.0597427351070729,总贸易
visit,V_ThirdParty,Trade_Total,3,0.0163315098844349,0.00993485519216976,0.100205148617446,"",-0.00314080629221781,0.0358038260610876,总贸易
visit,V_RemoteTalk,Trade_Total,6,-0.0779240885913387,0.0426897434862157,0.0679469388660065,*,-0.161595985824321,0.00574780864164395,总贸易
visit,V_China_Outbound,Trade_Total,6,0.00380849517633207,0.0139604024751823,0.785001597198006,"",-0.0235538936750253,0.0311708840276894,总贸易
visit,V_Partner_Inbound,Trade_Total,6,0.0276110490937372,0.0167613150719726,0.099494745983626,*,-0.00524112844732903,0.0604632266348035,总贸易
visit,V_ThirdParty,Trade_Total,6,-0.00302227496978106,0.0137533483961503,0.826067183692225,"",-0.0299788378262356,0.0239342878866735,总贸易
visit,V_RemoteTalk,Trade_Total,12,-0.0843974629199877,0.0401412395716465,0.0355083950336486,**,-0.163074292480415,-0.00572063335956057,总贸易
visit,V_China_Outbound,Trade_Total,12,0.0245999334800144,0.0114715065442858,0.031997815700252,**,0.00211578065321428,0.0470840863068144,总贸易
visit,V_Partner_Inbound,Trade_Total,12,0.0245103168468892,0.0165229556730984,0.137965525467401,"",-0.00787467627238365,0.056895309966162,总贸易
visit,V_ThirdParty,Trade_Total,12,0.0213761693564011,0.0116147685229591,0.0657051207625799,*,-0.00138877694859874,0.044141115661401,总贸易
