base_var,trade,horizon,estimate,se,pvalue,ci_lower,ci_upper,n,sig,trade_label
Cat_经贸制裁_对华,Trade_Exports,0,0.000680178672214441,0.0377518077150943,0.985625199595862,-0.0733133644493704,0.0746737217937993,6685,"",出口
Cat_经贸制裁_对华,Trade_Exports,1,0.0200554076652445,0.0347815217158392,0.564202273521656,-0.0481163748978003,0.0882271902282892,6660,"",出口
Cat_经贸制裁_对华,Trade_Exports,3,0.0510913302362578,0.0301303463923696,0.0899470989259016,-0.00796414869278655,0.110146809165302,6610,*,出口
Cat_经贸制裁_对华,Trade_Exports,6,0.0570895944177676,0.0297662914789913,0.0551201816242942,-0.00125233688105546,0.115431525716591,6535,*,出口
Cat_经贸制裁_对华,Trade_Exports,12,-0.167586490576021,0.0689780911709966,0.0151171145317804,-0.302783549271175,-0.032389431880868,6385,**,出口
Cat_科技管制_对华,Trade_Imports,-3,0.0609197347621429,0.0711812109356459,0.392086230641857,-0.0785954386717231,0.200434908196009,6610,"",进口
Cat_科技管制_对华,Trade_Imports,-2,-0.0176053285885721,0.0676633638074135,0.794717240797474,-0.150225521651103,0.115014864473958,6635,"",进口
Cat_科技管制_对华,Trade_Imports,-1,0.0654808768355414,0.0705041472437309,0.353017558576673,-0.0727072517621711,0.203669005433254,6660,"",进口
Cat_科技管制_对华,Trade_Imports,0,0.0158577053115418,0.065906049443917,0.809856802050791,-0.113318151598536,0.145033562221619,6685,"",进口
Cat_科技管制_对华,Trade_Imports,1,0.0192733623742439,0.0594017077373878,0.745591275586863,-0.0971539847910362,0.135700709539524,6660,"",进口
Cat_科技管制_对华,Trade_Imports,3,0.0909031122888301,0.0624133781727237,0.145263182337546,-0.0314271089297084,0.213233333507369,6610,"",进口
Cat_科技管制_对华,Trade_Imports,6,0.0623096819336887,0.087055250388842,0.474146536484838,-0.108318608828442,0.232937972695819,6535,"",进口
Cat_科技管制_对华,Trade_Imports,12,0.0277352773313835,0.0949376162100126,0.770177956585548,-0.158342450440241,0.213813005103008,6385,"",进口
Cat_经贸制裁_对华,Trade_Imports,-3,0.052544201676172,0.0454983634137,0.248148106670042,-0.03663259061468,0.141720993967024,6610,"",进口
Cat_经贸制裁_对华,Trade_Imports,-2,0.0399774830535498,0.0546668132619548,0.464599923910828,-0.0671694709398816,0.147124437046981,6635,"",进口
Cat_经贸制裁_对华,Trade_Imports,-1,0.0548867588223495,0.0865186992787065,0.525825118562218,-0.114689891763915,0.224463409408614,6660,"",进口
Cat_经贸制裁_对华,Trade_Imports,0,0.00446074484654079,0.0389626896428495,0.908851275129576,-0.0719061268534443,0.0808276165465258,6685,"",进口
Cat_经贸制裁_对华,Trade_Imports,1,0.0123320513645197,0.0400290546213778,0.758023356023255,-0.0661248956933808,0.0907889984224202,6660,"",进口
Cat_经贸制裁_对华,Trade_Imports,3,0.00990789710606756,0.056372854860611,0.860485225453169,-0.10058289842073,0.120398692632865,6610,"",进口
Cat_经贸制裁_对华,Trade_Imports,6,-0.0654821733275788,0.0629222222489747,0.298022058816311,-0.188809728935569,0.0578453822804116,6535,"",进口
Cat_经贸制裁_对华,Trade_Imports,12,-0.173649385275903,0.0670502772356946,0.00960209849975648,-0.305067928657864,-0.0422308418939414,6385,***,进口
