Partner,Index_Type,YearMonth,Index_Value
Australia,Aggregated,2019-12,0.8328821661713608
Australia,Aggregated,2020-01,0.16085816765652972
Australia,Aggregated,2020-02,-0.6763179617222601
Australia,Aggregated,2020-03,-2.4119853781596703
Australia,Aggregated,2020-04,-2.174516102825388
Australia,Aggregated,2020-05,-2.0959685778925436
Australia,Aggregated,2020-06,-2.127645748606895
Australia,Aggregated,2020-07,-2.2258453118061095
Australia,Aggregated,2020-08,-0.6758280200991287
Australia,Aggregated,2020-09,-2.539421751435066
Australia,Aggregated,2020-10,-1.6422542376427334
Australia,Aggregated,2020-11,-0.006008114797865005
Australia,Aggregated,2020-12,-1.4621869207342346
Australia,Aggregated,2021-01,-1.158102189490867
Australia,Aggregated,2021-02,-1.9070781790800488
Australia,Aggregated,2021-03,-1.0323283199669735
Australia,Aggregated,2021-04,0.8045595869246984
Australia,Aggregated,2021-05,-0.8557324007373115
Australia,Aggregated,2021-06,-1.0612396691138208
Australia,Aggregated,2021-07,-0.8241461334907072
Australia,Aggregated,2021-08,-0.6987401499981036
Australia,Aggregated,2021-09,-0.41671485360328653
Australia,Aggregated,2021-10,-0.7294714779978548
Australia,Aggregated,2021-11,-0.9171956607871312
Australia,Aggregated,2021-12,-0.6967304567208501
Australia,Aggregated,2022-01,-1.6141015332826907
Australia,Aggregated,2022-02,-1.9397976083555246
Australia,Aggregated,2022-03,-0.9398484200237736
Australia,Aggregated,2022-04,-0.2898299292562303
Australia,Aggregated,2022-05,0.5603407832090745
Australia,Aggregated,2022-06,-0.7713114491911934
Australia,Aggregated,2022-07,-0.10627306554652804
Australia,Aggregated,2022-08,-1.4662123805601794
Australia,Aggregated,2022-09,1.347293521158008
Australia,Aggregated,2022-10,0.7724263260424067
Australia,Aggregated,2022-11,0.3707996398455151
Australia,Aggregated,2022-12,3.1169113386169496
Australia,Aggregated,2023-01,1.5818630290523785
Australia,Aggregated,2023-02,2.1233976093372995
Australia,Aggregated,2023-03,1.5402392844908661
Australia,Aggregated,2023-04,1.631935462034848
Australia,CHN->Partner,2002-01,2.350000000000003
Australia,CHN->Partner,2002-02,1.9000000000000004
Australia,CHN->Partner,2002-03,0.5864515349076846
Australia,CHN->Partner,2002-04,2.0859480149188485
Australia,CHN->Partner,2002-05,2.217901000798669
Australia,CHN->Partner,2002-06,2.9889769185198514
Australia,CHN->Partner,2002-07,2.541066271285837
Australia,CHN->Partner,2002-08,2.203264835010142
Australia,CHN->Partner,2002-09,2.3184792775380867
Australia,CHN->Partner,2002-10,1.8921415884290855
Australia,CHN->Partner,2002-11,1.8720432000244038
Australia,CHN->Partner,2002-12,2.3922386736865136
Australia,CHN->Partner,2003-01,0.23738902056000732
Australia,CHN->Partner,2003-02,2.2639610306789297
Australia,CHN->Partner,2003-03,0.8499999999999996
Australia,CHN->Partner,2003-04,1.0
Australia,CHN->Partner,2003-05,3.226093260118752
Australia,CHN->Partner,2003-06,1.0
Australia,CHN->Partner,2003-07,1.7377539823196155
Australia,CHN->Partner,2003-08,2.820670486305083
Australia,CHN->Partner,2003-09,3.0588797187879795
Australia,CHN->Partner,2003-10,2.4128993245760437
Australia,CHN->Partner,2003-11,2.333333333333334
Australia,CHN->Partner,2003-12,1.9000000000000004
Australia,CHN->Partner,2004-01,2.2472882706655426
Australia,CHN->Partner,2004-02,2.9000000000000004
Australia,CHN->Partner,2004-03,2.0
Australia,CHN->Partner,2004-04,2.8942966333062454
Australia,CHN->Partner,2004-05,-0.40000000000000036
Australia,CHN->Partner,2004-06,2.1301802943067756
Australia,CHN->Partner,2004-07,3.2490693018223595
Australia,CHN->Partner,2004-08,2.4763079433108572
Australia,CHN->Partner,2004-09,0.8499999999999996
Australia,CHN->Partner,2004-10,3.0227937945894414
Australia,CHN->Partner,2004-11,3.1354965462890334
Australia,CHN->Partner,2004-12,2.099999999999998
Australia,CHN->Partner,2005-01,2.5
Australia,CHN->Partner,2005-02,3.639999999999997
Australia,CHN->Partner,2005-03,1.6327655700426078
Australia,CHN->Partner,2005-04,3.070729692813087
Australia,CHN->Partner,2005-05,2.778179470465977
Australia,CHN->Partner,2005-06,0.09237950982986298
Australia,CHN->Partner,2005-07,0.04170369414603847
Australia,CHN->Partner,2005-08,4.9851908797743025
Australia,CHN->Partner,2005-09,0.04678027751943148
Australia,CHN->Partner,2005-10,0.7065928613159613
Australia,CHN->Partner,2005-11,-3.6999999999999993
Australia,CHN->Partner,2005-12,3.6027922061357867
Australia,CHN->Partner,2006-01,3.8428571428571434
Australia,CHN->Partner,2006-02,3.400000000000004
Australia,CHN->Partner,2006-03,2.9511633718813393
Australia,CHN->Partner,2006-04,2.8353135713487063
Australia,CHN->Partner,2006-05,1.9571940782284614
Australia,CHN->Partner,2006-06,2.544767143318209
Australia,CHN->Partner,2006-07,3.504004338722142
Australia,CHN->Partner,2006-08,-0.20887768953130426
Australia,CHN->Partner,2006-09,1.622879077677176
Australia,CHN->Partner,2006-10,4.373680652654045
Australia,CHN->Partner,2006-11,4.4416044937577706
Australia,CHN->Partner,2006-12,1.9887246151770714
Australia,CHN->Partner,2007-01,3.938013223237231
Australia,CHN->Partner,2007-02,1.599999999999996
Australia,CHN->Partner,2007-03,3.376378610136406
Australia,CHN->Partner,2007-04,1.9423486507944272
Australia,CHN->Partner,2007-05,2.2135185458840727
Australia,CHN->Partner,2007-06,1.7087070243475981
Australia,CHN->Partner,2007-07,2.0203670011917687
Australia,CHN->Partner,2007-08,3.0838757256742824
Australia,CHN->Partner,2007-09,2.186759965091925
Australia,CHN->Partner,2007-10,1.8790357160373148
Australia,CHN->Partner,2007-11,1.8636201971605697
Australia,CHN->Partner,2007-12,1.733081892040607
Australia,CHN->Partner,2008-01,0.7899704280222153
Australia,CHN->Partner,2008-02,2.2435087855592997
Australia,CHN->Partner,2008-03,-0.6881622548397388
Australia,CHN->Partner,2008-04,2.4960196494300693
Australia,CHN->Partner,2008-05,0.7185675274656695
Australia,CHN->Partner,2008-06,2.107149037547586
Australia,CHN->Partner,2008-07,1.4140037340461387
Australia,CHN->Partner,2008-08,1.8316221324984063
Australia,CHN->Partner,2008-09,2.5350823798775135
Australia,CHN->Partner,2008-10,1.95902525858612
Australia,CHN->Partner,2008-11,1.3592428228703284
Australia,CHN->Partner,2008-12,2.398757724569508
Australia,CHN->Partner,2009-01,-0.6937540637208333
Australia,CHN->Partner,2009-02,2.209633636425327
Australia,CHN->Partner,2009-03,1.4073719763913974
Australia,CHN->Partner,2009-04,1.7633188373042028
Australia,CHN->Partner,2009-05,-0.5199544879852933
Australia,CHN->Partner,2009-06,-0.33919020421541646
Australia,CHN->Partner,2009-07,-0.9117420986089453
Australia,CHN->Partner,2009-08,-0.06424915305294832
Australia,CHN->Partner,2009-09,2.7152849537122012
Australia,CHN->Partner,2009-10,1.4737758502914282
Australia,CHN->Partner,2009-11,1.6515197879351646
Australia,CHN->Partner,2009-12,2.2973627214364924
