country,avg_shock,db,node,config
Malaysia,0.44859297708784357,GDELT,US bans ZTE from tech exports,baseline
Mexico,-0.09052732798794974,GDELT,US bans ZTE from tech exports,baseline
Netherlands,-0.4453677832554712,GDELT,US bans ZTE from tech exports,baseline
Philippines,-0.2055592406144809,GDELT,US bans ZTE from tech exports,baseline
Russia,0.5777251988937654,GDELT,US bans ZTE from tech exports,baseline
Saudi Arabia,0.23256996970214766,GDELT,US bans ZTE from tech exports,baseline
Singapore,-0.020878839645867644,GDELT,US bans ZTE from tech exports,baseline
South Korea,0.48213318752978257,GDELT,US bans ZTE from tech exports,baseline
Spain,-0.13190565938468563,GDELT,US bans ZTE from tech exports,baseline
Thailand,0.27754422262620787,GDELT,US bans ZTE from tech exports,baseline
United Arab Emirates,-0.504414143816945,GDELT,US bans ZTE from tech exports,baseline
United Kingdom,0.26892665106511626,GDELT,US bans ZTE from tech exports,baseline
Vietnam,-0.5795897457879344,GDELT,US bans ZTE from tech exports,baseline
Australia,-0.037838938730294584,GDELT,Trade War Begins,baseline
Belgium,-0.4593134473421288,GDELT,Trade War Begins,baseline
Brazil,-0.04169326544093281,GDELT,Trade War Begins,baseline
Canada,-0.4695140644978131,GDELT,Trade War Begins,baseline
France,-0.45947594173973166,GDELT,Trade War Begins,baseline
Germany,-0.476618404861962,GDELT,Trade War Begins,baseline
India,0.1613809302330767,GDELT,Trade War Begins,baseline
Indonesia,0.05796192441000542,GDELT,Trade War Begins,baseline
Iran,-0.6446408412605507,GDELT,Trade War Begins,baseline
Italy,-0.08028237585876745,GDELT,Trade War Begins,baseline
Japan,-0.2682018628607289,GDELT,Trade War Begins,baseline
Malaysia,0.6615836635770084,GDELT,Trade War Begins,baseline
Mexico,-0.16964951735882372,GDELT,Trade War Begins,baseline
Netherlands,-0.2026633056280685,GDELT,Trade War Begins,baseline
Philippines,0.37039766387575584,GDELT,Trade War Begins,baseline
Russia,-0.42789213395756426,GDELT,Trade War Begins,baseline
Saudi Arabia,0.046293430082025376,GDELT,Trade War Begins,baseline
Singapore,0.0014491591165690892,GDELT,Trade War Begins,baseline
South Korea,-0.6599665003485727,GDELT,Trade War Begins,baseline
Spain,0.7863339706372193,GDELT,Trade War Begins,baseline
Thailand,-0.08186100313040987,GDELT,Trade War Begins,baseline
United Arab Emirates,0.2559678897813816,GDELT,Trade War Begins,baseline
United Kingdom,-0.7735298412576371,GDELT,Trade War Begins,baseline
Vietnam,0.2766029286413615,GDELT,Trade War Begins,baseline
Australia,-0.26588542079355076,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Belgium,0.14409390253675264,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Brazil,-0.30344226473790276,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Canada,-1.9838450151890858,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
France,-0.5082787369656232,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Germany,-0.5997490434423003,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
India,-0.1211916933426328,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Indonesia,-0.41041392539857463,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Iran,-0.4671890936584956,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Italy,0.5049154350029277,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Japan,-0.33795659519248455,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Malaysia,0.08151591462713882,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Mexico,0.13714261921606138,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Netherlands,0.0490704876119956,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Philippines,-0.4529766956369738,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Russia,-0.15463452378381282,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Saudi Arabia,0.18022551066375048,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Singapore,-0.3193046139361967,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
South Korea,-0.23146686791957427,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Spain,-0.09379805192384832,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Thailand,-0.13098249920481586,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
United Arab Emirates,0.40988148540431224,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
United Kingdom,-1.042840941707762,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Vietnam,-0.036354766339658874,GDELT,Huawei CFO Meng Wanzhou arrested,baseline
Australia,-0.4298606193337829,GDELT,US hikes tariffs on $200B goods,baseline
Belgium,0.15529597524715483,GDELT,US hikes tariffs on $200B goods,baseline
Brazil,0.047775257349743375,GDELT,US hikes tariffs on $200B goods,baseline
Canada,0.09490946124608711,GDELT,US hikes tariffs on $200B goods,baseline
France,0.6580264214225235,GDELT,US hikes tariffs on $200B goods,baseline
Germany,0.8448410777457751,GDELT,US hikes tariffs on $200B goods,baseline
India,0.01185908897662852,GDELT,US hikes tariffs on $200B goods,baseline
Indonesia,0.5230732009392279,GDELT,US hikes tariffs on $200B goods,baseline
Iran,0.09663093765373676,GDELT,US hikes tariffs on $200B goods,baseline
Italy,-0.2246071820148186,GDELT,US hikes tariffs on $200B goods,baseline
Japan,0.5364277783596803,GDELT,US hikes tariffs on $200B goods,baseline
Malaysia,-0.8685705499192433,GDELT,US hikes tariffs on $200B goods,baseline
Mexico,0.25334775149995314,GDELT,US hikes tariffs on $200B goods,baseline
Netherlands,-0.06092150374654274,GDELT,US hikes tariffs on $200B goods,baseline
Philippines,-0.4341762549275983,GDELT,US hikes tariffs on $200B goods,baseline
Russia,0.945783605391355,GDELT,US hikes tariffs on $200B goods,baseline
Saudi Arabia,-0.07806983388299728,GDELT,US hikes tariffs on $200B goods,baseline
Singapore,0.16821467983457702,GDELT,US hikes tariffs on $200B goods,baseline
South Korea,-0.14512346932211742,GDELT,US hikes tariffs on $200B goods,baseline
Spain,-0.5079242938677229,GDELT,US hikes tariffs on $200B goods,baseline
Thailand,0.409175756055134,GDELT,US hikes tariffs on $200B goods,baseline
United Arab Emirates,0.008637134688205397,GDELT,US hikes tariffs on $200B goods,baseline
United Kingdom,0.06373691990889693,GDELT,US hikes tariffs on $200B goods,baseline
Vietnam,-0.25108438199059313,GDELT,US hikes tariffs on $200B goods,baseline
