country,avg_shock,db,node,valence,node_date
Australia,-0.23693191081167342,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Belgium,-0.02083462273683856,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Brazil,-0.47716231158232264,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Canada,-2.789888845792181,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
France,-0.0626839403628602,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Germany,-0.2668883435252668,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
India,-0.08329434972061682,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Indonesia,-0.8176083686337096,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Iran,-0.6787331085840275,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Italy,0.6568352340223119,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Japan,-0.5854908366610456,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Malaysia,0.09167474328346382,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Mexico,0.277121265678171,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Netherlands,-0.23351393316526506,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Philippines,-1.0984132086743787,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Russia,0.056297788106708255,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Saudi Arabia,0.2559508372474286,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Singapore,-0.27709810513499494,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
South Korea,-0.30674018429925126,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Spain,-0.7321131806162585,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Thailand,0.015998603298467758,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
United Arab Emirates,0.43731723236471914,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
United Kingdom,-0.7367446143685927,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Vietnam,-0.3843000644990843,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01
Australia,-0.24021074194507563,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Belgium,-0.6289456890023126,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Brazil,0.3686896105150524,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Canada,0.07509091282122542,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
France,0.534209053720244,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Germany,0.9504103788235537,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
India,0.8001630485349115,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Indonesia,0.24724151136848255,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Iran,0.10335124319236612,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Italy,-1.1800282031919254,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Japan,0.4298425618507025,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Malaysia,-0.758649084305436,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Mexico,0.04270068462258129,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Netherlands,-0.11850735348936373,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Philippines,0.2348901738156007,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
Russia,0.9943560019661775,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01
