ISO,Country,trade,variable,estimate,se,pval,sig,trade_label,sensitivity
ES,Spain,Trade_Imports,Event_Positive,0.0436572800499132,0.0165167691903048,0.00821242211695869,***,进口,0.123460689222301
ES,Spain,Trade_Imports,Event_Negative,0.00442960845473004,0.0527609700454338,0.93309128772532,"",进口,0.123460689222301
FR,France,Trade_Total,Event_Positive,0.01238553208686,0.00835674431275353,0.138313646115782,"",总贸易,0.016890922404935
FR,France,Trade_Total,Event_Negative,0.029276454491795,0.0183518102278752,0.110647459801432,"",总贸易,0.016890922404935
FR,France,Trade_Exports,Event_Positive,-0.0419383789874635,0.0112987172680725,0.000205804947524946,***,出口,0.016890922404935
FR,France,Trade_Exports,Event_Negative,0.0505916968138757,0.0206001580230201,0.014053664756715,**,出口,0.016890922404935
FR,France,Trade_Imports,Event_Positive,0.077389140402426,0.0147470217206676,1.53942137654999e-07,***,进口,0.016890922404935
FR,France,Trade_Imports,Event_Negative,0.00458648151396347,0.0270820094177221,0.865517190162638,"",进口,0.016890922404935
GB,United Kingdom,Trade_Total,Event_Positive,-0.0102630942465887,0.0274412589145479,0.70840259693803,"",总贸易,0.0714013869589271
GB,United Kingdom,Trade_Total,Event_Negative,0.0611382927123384,0.0245631894306901,0.0128095422839969,**,总贸易,0.0714013869589271
GB,United Kingdom,Trade_Exports,Event_Positive,-0.0156220333173453,0.0276440654891388,0.571996598318091,"",出口,0.0714013869589271
GB,United Kingdom,Trade_Exports,Event_Negative,0.0766116980874436,0.0261140977205451,0.00334915981829674,***,出口,0.0714013869589271
GB,United Kingdom,Trade_Imports,Event_Positive,0.0116562687628885,0.0311064900247846,0.707867644726036,"",进口,0.0714013869589271
GB,United Kingdom,Trade_Imports,Event_Negative,0.0203651636992341,0.0292093161926398,0.485668460624112,"",进口,0.0714013869589271
ID,Indonesia,Trade_Total,Event_Positive,-0.07114821992706,0.015561395551835,4.82865817931493e-06,***,总贸易,-0.115308780290473
ID,Indonesia,Trade_Total,Event_Negative,-0.186457000217533,0.0186667619955939,1.70778010404987e-23,***,总贸易,-0.115308780290473
ID,Indonesia,Trade_Exports,Event_Positive,-0.0455686587191083,0.0196523888916295,0.0204094736788402,**,出口,-0.115308780290473
ID,Indonesia,Trade_Exports,Event_Negative,-0.113818415335262,0.017130478852973,3.04857774753584e-11,***,出口,-0.115308780290473
ID,Indonesia,Trade_Imports,Event_Positive,-0.0996102265513698,0.0146259107008526,9.72387712597208e-12,***,进口,-0.115308780290473
ID,Indonesia,Trade_Imports,Event_Negative,-0.27525544302706,0.0277230057278918,3.12070531852054e-23,***,进口,-0.115308780290473
IN,India,Trade_Total,Event_Positive,-0.0209929270734626,0.0105844303657762,0.0473252148059524,**,总贸易,-0.0310403710945153
IN,India,Trade_Total,Event_Negative,-0.0520332981679779,0.0205494227016533,0.0113379999184135,**,总贸易,-0.0310403710945153
IN,India,Trade_Exports,Event_Positive,-0.0411238310851345,0.0130748862922976,0.00165943005449473,***,出口,-0.0310403710945153
IN,India,Trade_Exports,Event_Negative,-0.0473423623206913,0.0311734640055958,0.128844307272432,"",出口,-0.0310403710945153
IN,India,Trade_Imports,Event_Positive,0.0437792671667525,0.013894333425191,0.00162783771771431,***,进口,-0.0310403710945153
IN,India,Trade_Imports,Event_Negative,-0.0243153235730364,0.0248778321940124,0.328376526262553,"",进口,-0.0310403710945153
IR,Iran,Trade_Total,Event_Positive,-0.758048741545674,0.0815395411264088,1.44870782207849e-20,***,总贸易,1.96685380141949
IR,Iran,Trade_Total,Event_Negative,1.20880505987382,0.212124861104469,1.20827581988586e-08,***,总贸易,1.96685380141949
IR,Iran,Trade_Exports,Event_Positive,-0.568101531566722,0.0818782177238957,3.96644197062312e-12,***,出口,1.96685380141949
IR,Iran,Trade_Exports,Event_Negative,1.0763697211203,0.189123964916204,1.26042585787346e-08,***,出口,1.96685380141949
IR,Iran,Trade_Imports,Event_Positive,-0.98806798688779,0.0999186453950791,4.65924910990968e-23,***,进口,1.96685380141949
IR,Iran,Trade_Imports,Event_Negative,1.2556541391945,0.25771492044632,1.10328752784182e-06,***,进口,1.96685380141949
IT,Italy,Trade_Total,Event_Positive,0.0327017023907352,0.0150675400262864,0.0299810102306483,**,总贸易,0.00549642737243978
IT,Italy,Trade_Total,Event_Negative,0.038198129763175,0.0409969970293898,0.35147610716211,"",总贸易,0.00549642737243978
IT,Italy,Trade_Exports,Event_Positive,0.0360779938963427,0.0176207443791556,0.0406116900651665,**,出口,0.00549642737243978
IT,Italy,Trade_Exports,Event_Negative,0.00949498943369798,0.0427802886861823,0.82435454707852,"",出口,0.00549642737243978
IT,Italy,Trade_Imports,Event_Positive,0.029746696778466,0.0149869953479963,0.0471629518728228,**,进口,0.00549642737243978
IT,Italy,Trade_Imports,Event_Negative,0.0885186148826561,0.0482519308899346,0.0665784318868017,*,进口,0.00549642737243978
