db,country,ally,category,event,post_month,shock
GDELT,Belgium,Non-Ally,Economic win-win cooperation,China-Belgium industrial investment fund agreement signed,6,-0.506805919176064
GDELT,Belgium,Non-Ally,Cultural / people-to-people cooperation,50th anniversary of China-Belgium diplomatic ties,0,0.7432516645729419
GDELT,Belgium,Non-Ally,Cultural / people-to-people cooperation,50th anniversary of China-Belgium diplomatic ties,1,-0.6336538322178856
GDELT,Belgium,Non-Ally,Cultural / people-to-people cooperation,50th anniversary of China-Belgium diplomatic ties,3,-0.9662803287792201
GDELT,Belgium,Non-Ally,Cultural / people-to-people cooperation,50th anniversary of China-Belgium diplomatic ties,6,0.0890190428601248
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,COSBAN established,0,-0.14671726381558153
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,COSBAN established,1,-0.3814741885079117
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,COSBAN established,3,-0.4482411649063914
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,COSBAN established,6,-0.2174395321950458
GDELT,Brazil,Non-Ally,Economic win-win cooperation,Brazil recognizes China's market economy status,0,-0.14671726381558153
GDELT,Brazil,Non-Ally,Economic win-win cooperation,Brazil recognizes China's market economy status,1,-0.3814741885079117
GDELT,Brazil,Non-Ally,Economic win-win cooperation,Brazil recognizes China's market economy status,3,-0.4482411649063914
GDELT,Brazil,Non-Ally,Economic win-win cooperation,Brazil recognizes China's market economy status,6,-0.2174395321950458
GDELT,Brazil,Non-Ally,Economic win-win cooperation,China becomes Brazil's largest trading partner,0,0.9612759175490873
GDELT,Brazil,Non-Ally,Economic win-win cooperation,China becomes Brazil's largest trading partner,1,1.1222024367768118
GDELT,Brazil,Non-Ally,Economic win-win cooperation,China becomes Brazil's largest trading partner,3,-0.23548365710615105
GDELT,Brazil,Non-Ally,Economic win-win cooperation,China becomes Brazil's largest trading partner,6,1.0251337091792154
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,China-Brazil Joint Action Plan 2010-2014 signed,0,0.6995031396597087
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,China-Brazil Joint Action Plan 2010-2014 signed,1,-0.31503437021987823
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,China-Brazil Joint Action Plan 2010-2014 signed,3,-0.7925562262441302
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,China-Brazil Joint Action Plan 2010-2014 signed,6,-0.04977855535574234
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,Comprehensive strategic partnership established,0,-0.17341854256371184
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,Comprehensive strategic partnership established,1,-0.3717834894982127
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,Comprehensive strategic partnership established,3,-1.4825105845836422
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,Comprehensive strategic partnership established,6,-1.3390801204694163
GDELT,Brazil,Non-Ally,Economic win-win cooperation,BRICS New Development Bank and Contingent Reserve Arrangement established,0,0.42816319430929684
GDELT,Brazil,Non-Ally,Economic win-win cooperation,BRICS New Development Bank and Contingent Reserve Arrangement established,1,-0.11834329661929792
GDELT,Brazil,Non-Ally,Economic win-win cooperation,BRICS New Development Bank and Contingent Reserve Arrangement established,3,-0.3061031281872999
GDELT,Brazil,Non-Ally,Economic win-win cooperation,BRICS New Development Bank and Contingent Reserve Arrangement established,6,0.2701503738713567
GDELT,Brazil,Non-Ally,Cultural / people-to-people cooperation,Visa facilitation agreement enters into force,0,-0.7908201255711937
GDELT,Brazil,Non-Ally,Cultural / people-to-people cooperation,Visa facilitation agreement enters into force,1,0.27323930775233374
GDELT,Brazil,Non-Ally,Cultural / people-to-people cooperation,Visa facilitation agreement enters into force,3,-0.7175034451200588
GDELT,Brazil,Non-Ally,Cultural / people-to-people cooperation,Visa facilitation agreement enters into force,6,-0.3255090193413221
GDELT,Brazil,Non-Ally,Economic win-win cooperation,Brazil says no restrictions on Huawei 5G,0,-0.8019680513606724
GDELT,Brazil,Non-Ally,Economic win-win cooperation,Brazil says no restrictions on Huawei 5G,1,-1.5454166185064828
GDELT,Brazil,Non-Ally,Economic win-win cooperation,Brazil says no restrictions on Huawei 5G,3,-0.15659509549638495
GDELT,Brazil,Non-Ally,Economic win-win cooperation,Brazil says no restrictions on Huawei 5G,6,-0.02216932620365364
GDELT,Brazil,Non-Ally,Economic win-win cooperation,China-Brazil local currency trade settlement agreement,0,-0.22168280636257082
GDELT,Brazil,Non-Ally,Economic win-win cooperation,China-Brazil local currency trade settlement agreement,1,-0.3815087369441992
GDELT,Brazil,Non-Ally,Economic win-win cooperation,China-Brazil local currency trade settlement agreement,3,0.24924841226972527
GDELT,Brazil,Non-Ally,Economic win-win cooperation,China-Brazil local currency trade settlement agreement,6,-0.963172523758542
GDELT,Brazil,Non-Ally,Economic sanction / tariff barrier,Brazil launches anti-dumping investigations on Chinese products,0,-0.8439821861014887
GDELT,Brazil,Non-Ally,Economic sanction / tariff barrier,Brazil launches anti-dumping investigations on Chinese products,1,-0.8831213941740983
GDELT,Brazil,Non-Ally,Economic sanction / tariff barrier,Brazil launches anti-dumping investigations on Chinese products,3,-1.6749227916908151
GDELT,Brazil,Non-Ally,Economic sanction / tariff barrier,Brazil launches anti-dumping investigations on Chinese products,6,-0.7387002658579332
GDELT,Canada,US Ally,Economic win-win cooperation,Canada-China energy cooperation and joint statement,0,-0.22342052330593853
GDELT,Canada,US Ally,Economic win-win cooperation,Canada-China energy cooperation and joint statement,1,2.079411265296684
GDELT,Canada,US Ally,Economic win-win cooperation,Canada-China energy cooperation and joint statement,3,-0.2332453632439595
GDELT,Canada,US Ally,Economic win-win cooperation,Canada-China energy cooperation and joint statement,6,-1.132254511078163
GDELT,Canada,US Ally,Strategic partnership upgrade,Canada-China strategic partnership announced,0,1.489228619440225
