,event_category,db,window,n_events,n_hit,hit_rate,quadclass,coop_conf
# Table S9-1 | Hit rate by event category across four databases and three windows,,,,,,,,
,Strategic partnership upgrade,GDELT,W_2m,45.0,33.0,0.702,Verbal cooperation,Cooperation
,Strategic partnership upgrade,ICEWS,W_strict,39.0,28.0,0.683,Verbal cooperation,Cooperation
,Strategic partnership upgrade,ICEWS,W_1m,39.0,18.0,0.439,Verbal cooperation,Cooperation
,Strategic partnership upgrade,ICEWS,W_2m,39.0,17.0,0.415,Verbal cooperation,Cooperation
,Strategic partnership upgrade,Phoenix,W_strict,32.0,22.0,0.647,Verbal cooperation,Cooperation
,Strategic partnership upgrade,Phoenix,W_1m,32.0,21.0,0.618,Verbal cooperation,Cooperation
,Strategic partnership upgrade,Phoenix,W_2m,32.0,21.0,0.618,Verbal cooperation,Cooperation
,Strategic partnership upgrade,Tsinghua,W_strict,20.0,15.0,0.75,Verbal cooperation,Cooperation
,Strategic partnership upgrade,Tsinghua,W_1m,20.0,15.0,0.75,Verbal cooperation,Cooperation
,Strategic partnership upgrade,Tsinghua,W_2m,20.0,16.0,0.8,Verbal cooperation,Cooperation
,,,,,,,,
"# Notes: Hit rate = proportion of events detected within the specified time window. Fair-coverage sample: ICEWS ≤ 2023-04, Phoenix ≤ 2019-03. Phoenix has no gold-standard records in the High-level visit category (rows omitted). Visit-related categories are shown for library completeness; the hit-rate tests exclude leader interactions (main-text Section 2).",,,,,,,,
