方向,评价方,被评价方,年份,月份,指标类型,好感度数值,恶感度数值,有效样本量,数据来源机构,调查波次
US→中国,US,中国,2010.0,,好感度%（四级题，1-2档）,47.7,39.1,870,Pew Research Center,Pew_2010_22国
US→中国,US,中国,2011.0,,好感度%（四级题，1-2档）,47.8,40.4,882,Pew Research Center,Pew_2011_23国
Uganda→中国,Uganda,中国,2013.0,,好感度%（四级题，1-2档）,58.6,17.0,605,Pew Research Center,Pew_2013_39国
Uganda→中国,Uganda,中国,2014.0,,好感度%（四级题，1-2档）,62.4,17.5,804,Pew Research Center,Pew_2014_44国
Uganda→中国,Uganda,中国,2015.0,,影响力正面%（1-2档）,83.6,11.0,1643,Afrobarometer,R6
Uganda→中国,Uganda,中国,2020.0,,影响力正面%（1-2档）,79.2,10.2,806,Afrobarometer,R8
Uganda→中国,Uganda,中国,2022.0,,影响力正面%（1-2档）,62.8,31.8,1786,Afrobarometer,R9
Ukraine→中国,Ukraine,中国,2011.0,,好感度%（四级题，1-2档）,62.9,23.6,865,Pew Research Center,Pew_2011_23国
Ukraine→中国,Ukraine,中国,2014.0,,好感度%（四级题，1-2档）,62.4,20.1,1369,Pew Research Center,Pew_2014_44国
Ukraine→中国,Ukraine,中国,2019.0,,好感度%（四级题，1-2档）,57.9,15.6,769,Pew Research Center,Pew_2019_34国
United Kingdom→中国,United Kingdom,中国,2014.0,,好感度%（四级题，1-2档）,43.2,41.2,844,Pew Research Center,Pew_2014_44国
United Kingdom→中国,United Kingdom,中国,2016.0,,好感度%（四级题，1-2档）,36.4,45.3,1194,Pew Research Center,Pew_2016_19国
United Kingdom→中国,United Kingdom,中国,2017.0,,好感度%（四级题，1-2档）,43.7,39.8,890,Pew Research Center,Pew_2017_38国
United Kingdom→中国,United Kingdom,中国,2018.0,,好感度%（四级题，1-2档）,48.9,37.8,871,Pew Research Center,Pew_2018_27国
United Kingdom→中国,United Kingdom,中国,2019.0,,好感度%（四级题，1-2档）,35.5,59.6,980,Pew Research Center,Pew_2019_34国
United Kingdom→中国,United Kingdom,中国,2020.0,,好感度%（四级题，1-2档）,21.0,76.0,973,Pew Research Center,Pew_2020夏_14国
United States→中国,United States,中国,2008.0,,好感度%（四级题，1-2档）,34.4,45.9,803,Pew Research Center,Pew_2008_24国
United States→中国,United States,中国,2009.0,,好感度%（四级题，1-2档）,47.0,41.6,886,Pew Research Center,Pew_2009春_25国
United States→中国,United States,中国,2012.0,,好感度%（四级题，1-2档）,37.2,45.6,837,Pew Research Center,Pew_2012_21国
United States→中国,United States,中国,2013.0,,好感度%（四级题，1-2档）,33.3,54.8,883,Pew Research Center,Pew_2013_39国
United States→中国,United States,中国,2014.0,,好感度%（四级题，1-2档）,31.6,59.3,911,Pew Research Center,Pew_2014_44国
United States→中国,United States,中国,2016.0,,好感度%（四级题，1-2档）,34.7,56.6,916,Pew Research Center,Pew_2016_19国
United States→中国,United States,中国,2017.0,,好感度%（四级题，1-2档）,40.7,52.0,1396,Pew Research Center,Pew_2017_38国
United States→中国,United States,中国,2018.0,,好感度%（四级题，1-2档）,37.6,50.0,1314,Pew Research Center,Pew_2018_27国
United States→中国,United States,中国,2019.0,,好感度%（四级题，1-2档）,23.7,65.2,1336,Pew Research Center,Pew_2019_34国
United States→中国,United States,中国,2020.0,,好感度%（四级题，1-2档）,18.7,76.6,956,Pew Research Center,Pew_2020夏_14国
Venezuela→中国,Venezuela,中国,2013.0,,好感度%（四级题，1-2档）,70.8,19.2,900,Pew Research Center,Pew_2013_39国
Venezuela→中国,Venezuela,中国,2014.0,,好感度%（四级题，1-2档）,67.3,25.9,932,Pew Research Center,Pew_2014_44国
Venezuela→中国,Venezuela,中国,2017.0,,好感度%（四级题，1-2档）,51.0,28.6,796,Pew Research Center,Pew_2017_38国
Vietnam→中国,Vietnam,中国,2014.0,,好感度%（四级题，1-2档）,17.2,78.3,955,Pew Research Center,Pew_2014_44国
Vietnam→中国,Vietnam,中国,2017.0,,好感度%（四级题，1-2档）,11.0,86.1,971,Pew Research Center,Pew_2017_38国
Zambia→中国,Zambia,中国,2015.0,,影响力正面%（1-2档）,80.6,11.7,1083,Afrobarometer,R6
Zambia→中国,Zambia,中国,2020.0,,影响力正面%（1-2档）,77.8,17.6,927,Afrobarometer,R8
Zambia→中国,Zambia,中国,2022.0,,影响力正面%（1-2档）,67.9,23.2,780,Afrobarometer,R9
Zimbabwe→中国,Zimbabwe,中国,2015.0,,影响力正面%（1-2档）,53.1,34.0,2195,Afrobarometer,R6
Zimbabwe→中国,Zimbabwe,中国,2020.0,,影响力正面%（1-2档）,50.9,37.2,801,Afrobarometer,R8
Zimbabwe→中国,Zimbabwe,中国,2022.0,,影响力正面%（1-2档）,38.9,50.3,745,Afrobarometer,R9
中国→Brazil,中国,Brazil,2014.0,,好感度%（四级题，1-2档）,52.5,47.5,2707,Pew Research Center,Pew_2014_44国
中国→EU,中国,EU,2009.0,,好感度%（四级题，1-2档）,47.2,52.8,2664,Pew Research Center,Pew_2009春_25国
中国→EU,中国,EU,2010.0,,好感度%（四级题，1-2档）,53.4,46.6,2743,Pew Research Center,Pew_2010_22国
中国→EU,中国,EU,2011.0,,好感度%（四级题，1-2档）,40.5,59.5,2504,Pew Research Center,Pew_2011_23国
中国→EU,中国,EU,2012.0,,好感度%（四级题，1-2档）,38.3,61.7,2686,Pew Research Center,Pew_2012_21国
中国→EU,中国,EU,2013.0,,好感度%（四级题，1-2档）,45.9,54.1,2675,Pew Research Center,Pew_2013_39国
中国→EU,中国,EU,2014.0,,好感度%（四级题，1-2档）,60.8,39.2,2764,Pew Research Center,Pew_2014_44国
中国→France,中国,France,2005.0,,好感度%（四级题，1-2档）,71.4,28.6,1926,Pew Research Center,Pew_2005_22国
中国→France,中国,France,2006.0,,好感度%（四级题，1-2档）,69.3,30.7,1740,Pew Research Center,Pew_2006_15国
中国→Germany,中国,Germany,2005.0,,好感度%（四级题，1-2档）,64.3,35.7,1919,Pew Research Center,Pew_2005_22国
中国→Germany,中国,Germany,2006.0,,好感度%（四级题，1-2档）,62.8,37.2,1718,Pew Research Center,Pew_2006_15国
中国→India,中国,India,2006.0,,好感度%（四级题，1-2档）,43.5,56.5,1622,Pew Research Center,Pew_2006_15国
中国→India,中国,India,2008.0,,好感度%（四级题，1-2档）,37.0,63.0,2563,Pew Research Center,Pew_2008_24国
中国→India,中国,India,2010.0,,好感度%（四级题，1-2档）,38.8,61.2,2675,Pew Research Center,Pew_2010_22国
中国→India,中国,India,2011.0,,好感度%（四级题，1-2档）,33.3,66.7,2519,Pew Research Center,Pew_2011_23国
中国→India,中国,India,2012.0,,好感度%（四级题，1-2档）,28.1,71.9,2726,Pew Research Center,Pew_2012_21国
中国→India,中国,India,2013.0,,好感度%（四级题，1-2档）,26.7,73.3,2715,Pew Research Center,Pew_2013_39国
中国→India,中国,India,2014.0,,好感度%（四级题，1-2档）,34.9,65.1,2761,Pew Research Center,Pew_2014_44国
中国→India,中国,India,2016.0,,好感度%（四级题，1-2档）,29.3,70.7,2780,Pew Research Center,Pew_2016_19国
中国→Iran,中国,Iran,2006.0,,好感度%（四级题，1-2档）,33.7,66.3,1572,Pew Research Center,Pew_2006_15国
中国→Iran,中国,Iran,2008.0,,好感度%（四级题，1-2档）,30.4,69.6,2473,Pew Research Center,Pew_2008_24国
中国→Iran,中国,Iran,2009.0,,好感度%（四级题，1-2档）,29.4,70.6,2669,Pew Research Center,Pew_2009春_25国
中国→Iran,中国,Iran,2010.0,,好感度%（四级题，1-2档）,31.6,68.4,2768,Pew Research Center,Pew_2010_22国
中国→Iran,中国,Iran,2011.0,,好感度%（四级题，1-2档）,34.1,65.9,2569,Pew Research Center,Pew_2011_23国
中国→Iran,中国,Iran,2012.0,,好感度%（四级题，1-2档）,25.5,74.5,2727,Pew Research Center,Pew_2012_21国
中国→Iran,中国,Iran,2013.0,,好感度%（四级题，1-2档）,30.9,69.1,2715,Pew Research Center,Pew_2013_39国
中国→Iran,中国,Iran,2014.0,,好感度%（四级题，1-2档）,34.0,66.0,2715,Pew Research Center,Pew_2014_44国
中国→Japan,中国,Japan,2005.0,,好感度%（四级题，1-2档）,18.0,82.0,2031,Pew Research Center,Pew_2005_22国
中国→Japan,中国,Japan,2006.0,,好感度%（四级题，1-2档）,19.4,80.6,1960,Pew Research Center,Pew_2006_15国
中国→Japan,中国,Japan,2008.0,,好感度%（四级题，1-2档）,24.5,75.5,2907,Pew Research Center,Pew_2008_24国
中国→Japan,中国,Japan,2013.0,,好感度%（四级题，1-2档）,5.0,95.0,3064,Pew Research Center,Pew_2013_39国
中国→Japan,中国,Japan,2014.0,,好感度%（四级题，1-2档）,8.7,91.3,3011,Pew Research Center,Pew_2014_44国
中国→Japan,中国,Japan,2016.0,,好感度%（四级题，1-2档）,14.2,85.8,3019,Pew Research Center,Pew_2016_19国
中国→Pakistan,中国,Pakistan,2006.0,,好感度%（四级题，1-2档）,43.0,57.0,1568,Pew Research Center,Pew_2006_15国
中国→Pakistan,中国,Pakistan,2008.0,,好感度%（四级题，1-2档）,35.2,64.8,2459,Pew Research Center,Pew_2008_24国
中国→Pakistan,中国,Pakistan,2010.0,,好感度%（四级题，1-2档）,38.0,62.0,2592,Pew Research Center,Pew_2010_22国
中国→Pakistan,中国,Pakistan,2011.0,,好感度%（四级题，1-2档）,34.6,65.4,2390,Pew Research Center,Pew_2011_23国
中国→Pakistan,中国,Pakistan,2012.0,,好感度%（四级题，1-2档）,37.7,62.3,2666,Pew Research Center,Pew_2012_21国
中国→Pakistan,中国,Pakistan,2013.0,,好感度%（四级题，1-2档）,27.1,72.9,2633,Pew Research Center,Pew_2013_39国
中国→Pakistan,中国,Pakistan,2014.0,,好感度%（四级题，1-2档）,34.9,65.1,2712,Pew Research Center,Pew_2014_44国
中国→Russia,中国,Russia,2009.0,,好感度%（四级题，1-2档）,53.7,46.3,2831,Pew Research Center,Pew_2009春_25国
中国→Russia,中国,Russia,2010.0,,好感度%（四级题，1-2档）,56.4,43.6,2896,Pew Research Center,Pew_2010_22国
中国→Russia,中国,Russia,2011.0,,好感度%（四级题，1-2档）,55.3,44.7,2656,Pew Research Center,Pew_2011_23国
中国→Russia,中国,Russia,2012.0,,好感度%（四级题，1-2档）,55.0,45.0,2802,Pew Research Center,Pew_2012_21国
中国→Russia,中国,Russia,2013.0,,好感度%（四级题，1-2档）,56.3,43.7,2844,Pew Research Center,Pew_2013_39国
中国→Russia,中国,Russia,2014.0,,好感度%（四级题，1-2档）,75.0,25.0,2839,Pew Research Center,Pew_2014_44国
中国→South Korea,中国,South Korea,2008.0,,好感度%（四级题，1-2档）,67.0,33.0,2749,Pew Research Center,Pew_2008_24国
中国→South Korea,中国,South Korea,2016.0,,好感度%（四级题，1-2档）,59.4,40.6,2880,Pew Research Center,Pew_2016_19国
中国→United States,中国,United States,2005.0,,好感度%（四级题，1-2档）,42.1,57.9,2068,Pew Research Center,Pew_2005_22国
中国→United States,中国,United States,2006.0,,好感度%（四级题，1-2档）,49.1,50.9,1958,Pew Research Center,Pew_2006_15国
中国→United States,中国,United States,2008.0,,好感度%（四级题，1-2档）,46.1,53.9,2871,Pew Research Center,Pew_2008_24国
中国→United States,中国,United States,2009.0,,好感度%（四级题，1-2档）,50.9,49.1,2990,Pew Research Center,Pew_2009春_25国
中国→United States,中国,United States,2010.0,,好感度%（四级题，1-2档）,57.8,42.2,3088,Pew Research Center,Pew_2010_22国
中国→United States,中国,United States,2011.0,,好感度%（四级题，1-2档）,49.4,50.6,2929,Pew Research Center,Pew_2011_23国
中国→United States,中国,United States,2012.0,,好感度%（四级题，1-2档）,46.5,53.5,2916,Pew Research Center,Pew_2012_21国
中国→United States,中国,United States,2013.0,,好感度%（四级题，1-2档）,44.1,55.9,3014,Pew Research Center,Pew_2013_39国
中国→United States,中国,United States,2014.0,,好感度%（四级题，1-2档）,54.1,45.9,2994,Pew Research Center,Pew_2014_44国
中国→United States,中国,United States,2016.0,,好感度%（四级题，1-2档）,52.7,47.3,2976,Pew Research Center,Pew_2016_19国
日本→中国,日本,中国,2011.0,10,温度计0-100°（月均）,21.68,,3481,早稻田大学SIFCCT,第1波
日本→中国,日本,中国,2011.0,11,温度计0-100°（月均）,21.5,,3310,早稻田大学SIFCCT,第2波
日本→中国,日本,中国,2011.0,12,温度计0-100°（月均）,20.37,,3352,早稻田大学SIFCCT,第3波
日本→中国,日本,中国,2012.0,1,温度计0-100°（月均）,25.21,,3518,早稻田大学SIFCCT,第4波
日本→中国,日本,中国,2012.0,2,温度计0-100°（月均）,23.54,,3418,早稻田大学SIFCCT,第5波
日本→中国,日本,中国,2012.0,3,温度计0-100°（月均）,24.3,,3405,早稻田大学SIFCCT,第6波
日本→中国,日本,中国,2012.0,4,温度计0-100°（月均）,21.84,,3261,早稻田大学SIFCCT,第7波
日本→中国,日本,中国,2012.0,5,温度计0-100°（月均）,23.03,,3215,早稻田大学SIFCCT,第8波
日本→中国,日本,中国,2012.0,6,温度计0-100°（月均）,21.87,,3178,早稻田大学SIFCCT,第9波
日本→中国,日本,中国,2012.0,7,温度计0-100°（月均）,21.23,,3069,早稻田大学SIFCCT,第10波
日本→中国,日本,中国,2012.0,8,温度计0-100°（月均）,16.56,,3068,早稻田大学SIFCCT,第11波
日本→中国,日本,中国,2012.0,9,温度计0-100°（月均）,14.27,,3032,早稻田大学SIFCCT,第12波
日本→中国,日本,中国,2012.0,10,温度计0-100°（月均）,15.36,,3333,早稻田大学SIFCCT,第13波
日本→中国,日本,中国,2012.0,11,温度计0-100°（月均）,16.04,,3266,早稻田大学SIFCCT,第14波
日本→中国,日本,中国,2012.0,12,温度计0-100°（月均）,16.56,,3322,早稻田大学SIFCCT,第15波
日本→中国,日本,中国,2013.0,1,温度计0-100°（月均）,16.71,,3247,早稻田大学SIFCCT,第16波
日本→中国,日本,中国,2013.0,2,温度计0-100°（月均）,14.95,,3182,早稻田大学SIFCCT,第17波
日本→中国,日本,中国,2013.0,3,温度计0-100°（月均）,15.79,,3088,早稻田大学SIFCCT,第18波
日本→中国,日本,中国,2013.0,4,温度计0-100°（月均）,15.39,,3043,早稻田大学SIFCCT,第19波
日本→中国,日本,中国,2013.0,5,温度计0-100°（月均）,16.73,,2970,早稻田大学SIFCCT,第20波
日本→中国,日本,中国,2013.0,6,温度计0-100°（月均）,16.1,,2997,早稻田大学SIFCCT,第21波
日本→中国,日本,中国,2013.0,7,温度计0-100°（月均）,15.77,,3043,早稻田大学SIFCCT,第22波
日本→中国,日本,中国,2013.0,8,温度计0-100°（月均）,15.34,,3074,早稻田大学SIFCCT,第23波
日本→中国,日本,中国,2013.0,9,温度计0-100°（月均）,16.27,,3206,早稻田大学SIFCCT,第24波
日本→中国,日本,中国,2020.0,,亲近感%（四级题，1-2档）,22.0,77.3,1865,日本内阁府,令和２年10月調査
日本→中国,日本,中国,2021.0,,亲近感%（四级题，1-2档）,20.6,79.0,1701,日本内阁府,令和３年９月調査
日本→中国,日本,中国,2022.0,,亲近感%（四级题，1-2档）,17.8,81.8,1732,日本内阁府,令和４年10月調査
日本→中国,日本,中国,2023.0,,亲近感%（四级题，1-2档）,12.7,86.7,1649,日本内阁府,令和５年９月調査
日本→中国,日本,中国,2024.0,,亲近感%（四级题，1-2档）,14.7,84.7,1734,日本内阁府,令和６年10月調査
日本→中国,日本,中国,2025.0,,亲近感%（四级题，1-2档）,15.9,83.5,1772,日本内阁府,令和７年９月調査
澳大利亚→中国,澳大利亚,中国,2006.0,,温度计0-100°,61.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2006.0
澳大利亚→中国,澳大利亚,中国,2007.0,,温度计0-100°,56.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2007.0
澳大利亚→中国,澳大利亚,中国,2008.0,,温度计0-100°,56.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2008.0
澳大利亚→中国,澳大利亚,中国,2009.0,,温度计0-100°,53.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2009.0
澳大利亚→中国,澳大利亚,中国,2010.0,,温度计0-100°,54.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2010.0
澳大利亚→中国,澳大利亚,中国,2011.0,,温度计0-100°,53.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2011.0
澳大利亚→中国,澳大利亚,中国,2012.0,,温度计0-100°,59.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2012.0
澳大利亚→中国,澳大利亚,中国,2013.0,,温度计0-100°,54.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2013.0
澳大利亚→中国,澳大利亚,中国,2014.0,,温度计0-100°,60.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2014.0
澳大利亚→中国,澳大利亚,中国,2015.0,,温度计0-100°,58.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2015.0
澳大利亚→中国,澳大利亚,中国,2016.0,,温度计0-100°,58.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2016.0
澳大利亚→中国,澳大利亚,中国,2017.0,,温度计0-100°,59.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2017.0
澳大利亚→中国,澳大利亚,中国,2018.0,,温度计0-100°,58.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2018.0
澳大利亚→中国,澳大利亚,中国,2019.0,,温度计0-100°,49.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2019.0
澳大利亚→中国,澳大利亚,中国,2020.0,,温度计0-100°,39.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2020.0
澳大利亚→中国,澳大利亚,中国,2021.0,,温度计0-100°,32.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2021.0
澳大利亚→中国,澳大利亚,中国,2022.0,,温度计0-100°,33.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2022.0
澳大利亚→中国,澳大利亚,中国,2023.0,,温度计0-100°,33.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2023.0
澳大利亚→中国,澳大利亚,中国,2024.0,,温度计0-100°,34.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2024.0
澳大利亚→中国,澳大利亚,中国,2025.0,,温度计0-100°,37.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2025.0
澳大利亚→中国,澳大利亚,中国,2026.0,,温度计0-100°,41.0,,约1200-2600,Lowy Institute,Lowy Institute Poll 2026.0
美国→中国,美国,中国,1985.0,,好感度%（四级题）,38.0,51.0,约1000,Gallup,World Affairs 1985 Feb 22-Mar 3
美国→中国,美国,中国,1989.0,,好感度%（四级题）,34.0,54.0,约1000,Gallup,World Affairs 1989 Aug 10-13
美国→中国,美国,中国,1989.0,,好感度%（四级题）,72.0,13.0,约1000,Gallup,World Affairs 1989 Feb 28-Mar 2
美国→中国,美国,中国,1991.0,,好感度%（四级题）,35.0,53.0,约1000,Gallup,World Affairs 1991 Mar 14-17
美国→中国,美国,中国,1994.0,,好感度%（四级题）,40.0,53.0,约1000,Gallup,World Affairs 1994 Feb 26-28
美国→中国,美国,中国,1996.0,,好感度%（四级题）,39.0,51.0,约1000,Gallup,World Affairs 1996 Mar 8-10
美国→中国,美国,中国,1997.0,,好感度%（四级题）,33.0,50.0,约1000,Gallup,World Affairs 1997 Jun 26-29
美国→中国,美国,中国,1998.0,,好感度%（四级题）,44.0,47.0,约1000,Gallup,World Affairs 1998 Jul 7-8
美国→中国,美国,中国,1998.0,,好感度%（四级题）,39.0,51.0,约1000,Gallup,World Affairs 1998 Jun 22-23
美国→中国,美国,中国,1999.0,,好感度%（四级题）,38.0,56.0,约1000,Gallup,World Affairs 1999 May 7-9
美国→中国,美国,中国,1999.0,,好感度%（四级题）,34.0,59.0,约1000,Gallup,World Affairs 1999 Mar 12-14 ^
美国→中国,美国,中国,1999.0,,好感度%（四级题）,39.0,50.0,约1000,Gallup,World Affairs 1999 Feb 8-9
美国→中国,美国,中国,2000.0,,好感度%（四级题）,36.0,57.0,约1000,Gallup,World Affairs 2000 Nov 13-15
美国→中国,美国,中国,2000.0,,好感度%（四级题）,35.0,56.0,约1000,Gallup,World Affairs 2000 Mar 17-19
美国→中国,美国,中国,2000.0,,好感度%（四级题）,33.0,51.0,约1000,Gallup,World Affairs 2000 Jan 25-26
美国→中国,美国,中国,2001.0,,好感度%（四级题）,45.0,48.0,约1000,Gallup,World Affairs 2001 Feb 1-4 ^
美国→中国,美国,中国,2002.0,,好感度%（四级题）,44.0,49.0,约1000,Gallup,World Affairs 2002 Feb 4-6
美国→中国,美国,中国,2003.0,,好感度%（四级题）,45.0,46.0,约1000,Gallup,World Affairs 2003 Feb 3-6
美国→中国,美国,中国,2004.0,,好感度%（四级题）,41.0,54.0,约1000,Gallup,World Affairs 2004 Feb 9-12
美国→中国,美国,中国,2005.0,,好感度%（四级题）,47.0,47.0,约1000,Gallup,World Affairs 2005 Feb 7-10
美国→中国,美国,中国,2006.0,,好感度%（四级题）,44.0,49.0,约1000,Gallup,World Affairs 2006 Feb 6-9
美国→中国,美国,中国,2007.0,,好感度%（四级题）,48.0,47.0,约1000,Gallup,World Affairs 2007 Feb 1-4
美国→中国,美国,中国,2008.0,,好感度%（四级题）,42.0,55.0,约1000,Gallup,World Affairs 2008 Feb 11-14
美国→中国,美国,中国,2009.0,,好感度%（四级题）,41.0,51.0,约1000,Gallup,World Affairs 2009 Feb 9-12
美国→中国,美国,中国,2010.0,,好感度%（四级题）,42.0,53.0,约1000,Gallup,World Affairs 2010 Feb 1-3
美国→中国,美国,中国,2011.0,,好感度%（四级题）,47.0,50.0,约1000,Gallup,World Affairs 2011 Feb 2-5
美国→中国,美国,中国,2012.0,,好感度%（四级题）,41.0,56.0,约1000,Gallup,World Affairs 2012 Feb 2-5
美国→中国,美国,中国,2013.0,,好感度%（四级题）,43.0,52.0,约1000,Gallup,World Affairs 2013 Feb 7-10
美国→中国,美国,中国,2014.0,,好感度%（四级题）,43.0,53.0,约1000,Gallup,World Affairs 2014 Feb 6-9
美国→中国,美国,中国,2015.0,,好感度%（四级题）,44.0,50.0,约1000,Gallup,World Affairs 2015 Feb 8-11
美国→中国,美国,中国,2016.0,,好感度%（四级题）,44.0,52.0,约1000,Gallup,World Affairs 2016 Feb 3-7
美国→中国,美国,中国,2017.0,,好感度%（四级题）,50.0,48.0,约1000,Gallup,World Affairs 2017 Feb 1-5
美国→中国,美国,中国,2018.0,,好感度%（四级题）,53.0,45.0,约1000,Gallup,World Affairs 2018 Feb 1-10
美国→中国,美国,中国,2019.0,,好感度%（四级题）,41.0,57.0,约1000,Gallup,World Affairs 2019 Feb 1-10
美国→中国,美国,中国,2020.0,,好感度%（四级题）,33.0,67.0,约1000,Gallup,World Affairs 2020 Feb 3-16
美国→中国,美国,中国,2021.0,,好感度%（四级题）,20.0,79.0,约1000,Gallup,World Affairs 2021 Feb 3-18
美国→中国,美国,中国,2022.0,,好感度%（四级题）,20.0,79.0,约1000,Gallup,World Affairs 2022 Feb 1-17
美国→中国,美国,中国,2023.0,,好感度%（四级题）,15.0,84.0,约1000,Gallup,World Affairs 2023 Feb 1-23
美国→中国,美国,中国,2024.0,,好感度%（四级题）,20.0,77.0,约1000,Gallup,World Affairs 2024 Feb 1-20
美国→中国,美国,中国,2025.0,,好感度%（四级题）,29.0,67.0,约1000,Gallup,World Affairs 2025 Feb 3-16
