方向,评价方,被评价方,年份,月份,指标类型,好感度数值,恶感度数值,有效样本量,数据来源机构,调查波次
Egypt→中国,Egypt,中国,2014.0,,好感度%（四级题，1-2档）,45.5,53.5,990,Pew Research Center,Pew_2014_44国
Egypt→中国,Egypt,中国,2015.0,,影响力正面%（1-2档）,47.4,32.2,960,Afrobarometer,R6
El Salvador→中国,El Salvador,中国,2013.0,,好感度%（四级题，1-2档）,51.5,22.9,589,Pew Research Center,Pew_2013_39国
El Salvador→中国,El Salvador,中国,2014.0,,好感度%（四级题，1-2档）,48.5,25.1,744,Pew Research Center,Pew_2014_44国
Eswatini→中国,Eswatini,中国,2020.0,,影响力正面%（1-2档）,92.0,5.3,1058,Afrobarometer,R8
Eswatini→中国,Eswatini,中国,2022.0,,影响力正面%（1-2档）,86.2,6.3,1007,Afrobarometer,R9
Ethiopia→中国,Ethiopia,中国,2020.0,,影响力正面%（1-2档）,73.2,19.1,1897,Afrobarometer,R8
Ethiopia→中国,Ethiopia,中国,2022.0,,影响力正面%（1-2档）,58.8,31.6,2033,Afrobarometer,R9
France→中国,France,中国,2005.0,,好感度%（四级题，1-2档）,57.9,41.7,748,Pew Research Center,Pew_2005_22国
France→中国,France,中国,2006.0,,好感度%（四级题，1-2档）,66.4,32.9,899,Pew Research Center,Pew_2006_15国
France→中国,France,中国,2008.0,,好感度%（四级题，1-2档）,28.8,71.2,754,Pew Research Center,Pew_2008_24国
France→中国,France,中国,2009.0,,好感度%（四级题，1-2档）,40.2,59.6,752,Pew Research Center,Pew_2009春_25国
France→中国,France,中国,2010.0,,好感度%（四级题，1-2档）,39.4,60.5,751,Pew Research Center,Pew_2010_22国
France→中国,France,中国,2011.0,,好感度%（四级题，1-2档）,51.2,48.7,1003,Pew Research Center,Pew_2011_23国
France→中国,France,中国,2012.0,,好感度%（四级题，1-2档）,38.2,61.8,1004,Pew Research Center,Pew_2012_21国
France→中国,France,中国,2013.0,,好感度%（四级题，1-2档）,42.2,57.7,1003,Pew Research Center,Pew_2013_39国
France→中国,France,中国,2014.0,,好感度%（四级题，1-2档）,44.9,54.9,1001,Pew Research Center,Pew_2014_44国
France→中国,France,中国,2016.0,,好感度%（四级题，1-2档）,33.5,60.3,937,Pew Research Center,Pew_2016_19国
France→中国,France,中国,2017.0,,好感度%（四级题，1-2档）,40.8,55.2,960,Pew Research Center,Pew_2017_38国
France→中国,France,中国,2018.0,,好感度%（四级题，1-2档）,40.8,54.5,956,Pew Research Center,Pew_2018_27国
France→中国,France,中国,2019.0,,好感度%（四级题，1-2档）,32.6,64.1,993,Pew Research Center,Pew_2019_34国
France→中国,France,中国,2020.0,,好感度%（四级题，1-2档）,23.2,73.4,1015,Pew Research Center,Pew_2020夏_14国
Gabon→中国,Gabon,中国,2015.0,,影响力正面%（1-2档）,78.4,19.3,1178,Afrobarometer,R6
Gabon→中国,Gabon,中国,2020.0,,影响力正面%（1-2档）,57.2,35.7,1186,Afrobarometer,R8
Gabon→中国,Gabon,中国,2022.0,,影响力正面%（1-2档）,53.8,32.7,1185,Afrobarometer,R9
Gambia→中国,Gambia,中国,2020.0,,影响力正面%（1-2档）,71.1,23.3,880,Afrobarometer,R8
Gambia→中国,Gambia,中国,2022.0,,影响力正面%（1-2档）,35.5,56.1,902,Afrobarometer,R9
Germany→中国,Germany,中国,2005.0,,好感度%（四级题，1-2档）,46.5,40.1,650,Pew Research Center,Pew_2005_22国
Germany→中国,Germany,中国,2006.0,,好感度%（四级题，1-2档）,57.6,28.9,781,Pew Research Center,Pew_2006_15国
Germany→中国,Germany,中国,2008.0,,好感度%（四级题，1-2档）,22.0,72.7,710,Pew Research Center,Pew_2008_24国
Germany→中国,Germany,中国,2009.0,,好感度%（四级题，1-2档）,29.6,63.5,699,Pew Research Center,Pew_2009春_25国
Germany→中国,Germany,中国,2010.0,,好感度%（四级题，1-2档）,29.3,63.9,699,Pew Research Center,Pew_2010_22国
Germany→中国,Germany,中国,2011.0,,好感度%（四级题，1-2档）,30.9,62.7,937,Pew Research Center,Pew_2011_23国
Germany→中国,Germany,中国,2012.0,,好感度%（四级题，1-2档）,30.1,65.7,958,Pew Research Center,Pew_2012_21国
Germany→中国,Germany,中国,2013.0,,好感度%（四级题，1-2档）,26.8,67.1,963,Pew Research Center,Pew_2013_39国
Germany→中国,Germany,中国,2014.0,,好感度%（四级题，1-2档）,29.2,65.0,942,Pew Research Center,Pew_2014_44国
Germany→中国,Germany,中国,2016.0,,好感度%（四级题，1-2档）,28.7,60.8,895,Pew Research Center,Pew_2016_19国
Germany→中国,Germany,中国,2017.0,,好感度%（四级题，1-2档）,33.2,54.6,880,Pew Research Center,Pew_2017_38国
Germany→中国,Germany,中国,2018.0,,好感度%（四级题，1-2档）,39.4,54.4,939,Pew Research Center,Pew_2018_27国
