category,post_month,mean_shock,sd_shock,n_countries,se,ci_l,ci_u,significant
Economic sanction / tariff barrier,12,0.1732047566716784,1.360525739559266,9,0.4535085798530887,-0.7156720598403754,1.062081573183732,
Economic win-win cooperation,0,0.2533382219456376,0.9632207313906128,22,0.20535934994105368,-0.14916610393882762,0.6558425478301029,
Economic win-win cooperation,1,0.07055385054940985,1.1088403055401006,22,0.23640554746512338,-0.3928010224822319,0.5339087235810517,
Economic win-win cooperation,3,-0.0033634403795501163,0.9383203151535142,22,0.20005056336175137,-0.39546254456858276,0.38873566380948255,
Economic win-win cooperation,6,-0.10201468202480686,1.24891359470651,22,0.26626927305768844,-0.6239024572178762,0.41987309316826243,
Economic win-win cooperation,12,-0.14329166459327147,1.09654447550033,22,0.23378406769245746,-0.6015084372704881,0.31492510808394514,
High-level visit,0,-0.14915378798568316,0.3028972777101542,2,0.2141807190717949,-0.5689479973664011,0.27064042139503486,
High-level visit,1,0.46454356537107777,0.8629280216810328,2,0.6101822558065504,-0.7314136560097609,1.6605007867519164,
High-level visit,3,0.35835205938739845,0.8613963927767123,2,0.6090992306220441,-0.8354824326318079,1.5521865514066047,
High-level visit,6,0.4396358078561113,1.6497081691274331,2,1.1665198333688518,-1.8467430655468382,2.726014681259061,
High-level visit,12,0.333230480330584,1.4461415454291957,2,1.022576493328578,-1.6710194465934287,2.337480407254597,
Military / security cooperation,0,-0.15188086511977003,0.962321659324298,7,0.3637233988318734,-0.8647787268302418,0.5610169965907017,
Military / security cooperation,1,-0.13449239693209417,0.8708995499507315,7,0.32916908944110135,-0.7796638122366528,0.5106790183724645,
Military / security cooperation,3,-0.10543632634106616,0.970175664415906,7,0.3666919337273348,-0.8241525164466423,0.61327986376451,
Military / security cooperation,6,-0.18623676212836127,0.9633041465989606,7,0.3640947441168795,-0.899862460597445,0.5273889363407225,
Military / security cooperation,12,-0.15019189304988256,0.8162433490442207,7,0.30851098726878556,-0.7548734280967022,0.4544896419969371,
Multilateral / third-party meeting,0,-0.49407221881276886,1.081050162439327,3,0.6241446022918341,-1.7173956393047636,0.7292512016792259,
Multilateral / third-party meeting,1,0.19341885579658902,0.2511694561373969,3,0.145012753113138,-0.09080614030516143,0.47764385189833947,
Multilateral / third-party meeting,3,-0.09942877234250838,0.3074441350056482,3,0.17750295410628264,-0.44733456239082237,0.24847701770580558,
Multilateral / third-party meeting,6,-0.7420607810663831,1.0501564861793267,3,0.6063081299868658,-1.93042471584064,0.4463031537078739,
Multilateral / third-party meeting,12,-0.14813909228596336,0.5622837300397561,3,0.3246346628994001,-0.7844230315687875,0.4881448469968608,
Negative strategic positioning,0,-0.04559092517623797,0.47610826618131646,5,0.21292208956619754,-0.46291822072598515,0.3717363703735092,
Negative strategic positioning,1,0.20257338847377782,0.9576647793186759,5,0.4282807092427788,-0.6368568016420686,1.0420035785896242,
Negative strategic positioning,3,0.3343398132619259,0.7777115721681772,4,0.3888557860840886,-0.42781752746288776,1.0964971539867396,
Negative strategic positioning,6,0.41149170163341275,0.7356282331452401,4,0.36781411657262003,-0.3094239668489225,1.132407370115748,
Negative strategic positioning,12,-0.026651605377390822,1.0264368693060186,4,0.5132184346530093,-1.032559737297289,0.9792565265425073,
Pandemic / crisis aid,0,0.48052087950539757,0.838833054337535,11,0.25291768208958243,-0.015197777390183964,0.976239536400979,
Pandemic / crisis aid,1,0.40781412851080817,1.196421818259447,11,0.3607347511055786,-0.2992259836561259,1.1148542406777422,
Pandemic / crisis aid,3,0.5184824322328051,1.0984470537103572,11,0.33119424811169274,-0.13065829406611262,1.1676231585317227,
Pandemic / crisis aid,6,0.0812550821618491,1.2016232711932446,11,0.3623030481734059,-0.6288588922580265,0.7913690565817246,
Pandemic / crisis aid,12,0.31578338532209416,1.2173628463060657,11,0.36704870862875527,-0.40363208359026614,1.0351988542344546,
Pandemic / disaster shock,0,-0.26065858484197985,1.412675443888411,7,0.5339411296823594,-1.3071831990194043,0.7858660293354447,
Pandemic / disaster shock,1,0.08978916393612335,1.2207754960526742,7,0.4614097670281269,-0.8145739794390053,0.994152307311252,
Pandemic / disaster shock,3,-0.16241521401637185,0.9206993027281647,7,0.34799162675561374,-0.8444788024573747,0.5196483744246311,
Pandemic / disaster shock,6,-0.08619563047699712,1.349166285718125,7,0.5099369241832676,-1.0856720018762016,0.9132807409222075,
