db,version,country,event_name,category,post_month,shock
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,12,0.788755659085123
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,0,-0.8019680513606724
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,1,-1.5454166185064828
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,3,-0.15659509549638495
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,6,-0.02216932620365364
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,12,-1.411889118214255
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,0,-0.22168280636257082
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,1,-0.3815087369441992
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,3,0.24924841226972527
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,6,-0.963172523758542
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,12,-0.6149016164702805
GDELT,v3,Brazil,Brazil launches anti-dumping investigations on Chinese products,Economic sanction / tariff barrier,0,-0.8439821861014887
GDELT,v3,Brazil,Brazil launches anti-dumping investigations on Chinese products,Economic sanction / tariff barrier,1,-0.8831213941740983
GDELT,v3,Brazil,Brazil launches anti-dumping investigations on Chinese products,Economic sanction / tariff barrier,3,-1.6749227916908151
GDELT,v3,Brazil,Brazil launches anti-dumping investigations on Chinese products,Economic sanction / tariff barrier,6,-0.7387002658579332
GDELT,v3,Brazil,Brazil launches anti-dumping investigations on Chinese products,Economic sanction / tariff barrier,12,-0.844774861199968
GDELT,v3,Canada,Canada-China energy cooperation and joint statement,Economic win-win cooperation,0,-0.22342052330593853
GDELT,v3,Canada,Canada-China energy cooperation and joint statement,Economic win-win cooperation,1,2.079411265296684
GDELT,v3,Canada,Canada-China energy cooperation and joint statement,Economic win-win cooperation,3,-0.2332453632439595
GDELT,v3,Canada,Canada-China energy cooperation and joint statement,Economic win-win cooperation,6,-1.132254511078163
GDELT,v3,Canada,Canada-China energy cooperation and joint statement,Economic win-win cooperation,12,-3.931272663798281
GDELT,v3,Canada,Canada-China strategic partnership announced,Strategic partnership upgrade,0,1.489228619440225
GDELT,v3,Canada,Canada-China strategic partnership announced,Strategic partnership upgrade,1,1.16286197375865
GDELT,v3,Canada,Canada-China strategic partnership announced,Strategic partnership upgrade,3,-0.7646048427349296
GDELT,v3,Canada,Canada-China strategic partnership announced,Strategic partnership upgrade,6,0.2313986445067696
GDELT,v3,Canada,Canada-China strategic partnership announced,Strategic partnership upgrade,12,0.1757637428312561
GDELT,v3,Canada,China bans Canadian pork imports over H1N1; Canada protests,Pandemic / disaster shock,0,0.9581148173530211
GDELT,v3,Canada,China bans Canadian pork imports over H1N1; Canada protests,Pandemic / disaster shock,1,1.3157011858659875
GDELT,v3,Canada,China bans Canadian pork imports over H1N1; Canada protests,Pandemic / disaster shock,3,-0.009036497849449383
GDELT,v3,Canada,China bans Canadian pork imports over H1N1; Canada protests,Pandemic / disaster shock,6,1.0462563728765921
GDELT,v3,Canada,China bans Canadian pork imports over H1N1; Canada protests,Pandemic / disaster shock,12,0.7214182354235519
GDELT,v3,Canada,Canada-China FIPA signed,Economic win-win cooperation,0,1.4053841324248193
GDELT,v3,Canada,Canada-China FIPA signed,Economic win-win cooperation,1,1.2725479321765492
GDELT,v3,Canada,Canada-China FIPA signed,Economic win-win cooperation,3,1.8058686776249973
GDELT,v3,Canada,Canada-China FIPA signed,Economic win-win cooperation,6,0.6402267448225555
GDELT,v3,Canada,Canada-China FIPA signed,Economic win-win cooperation,12,1.5007072312486314
GDELT,v3,Canada,China detains Canadians Kovrig and Spavor ('Two Michaels'),Detention / judicial dispute,0,-2.558527121843364
GDELT,v3,Canada,China detains Canadians Kovrig and Spavor ('Two Michaels'),Detention / judicial dispute,1,-2.7956812797135746
GDELT,v3,Canada,China detains Canadians Kovrig and Spavor ('Two Michaels'),Detention / judicial dispute,3,-1.9349836885804064
GDELT,v3,Canada,China detains Canadians Kovrig and Spavor ('Two Michaels'),Detention / judicial dispute,6,-1.9991597227655054
GDELT,v3,Canada,China detains Canadians Kovrig and Spavor ('Two Michaels'),Detention / judicial dispute,12,-2.083530982709945
GDELT,v3,Canada,Meng Wanzhou arrested,Detention / judicial dispute,0,-2.558527121843364
GDELT,v3,Canada,Meng Wanzhou arrested,Detention / judicial dispute,1,-2.7956812797135746
GDELT,v3,Canada,Meng Wanzhou arrested,Detention / judicial dispute,3,-1.9349836885804064
GDELT,v3,Canada,Meng Wanzhou arrested,Detention / judicial dispute,6,-1.9991597227655054
GDELT,v3,Canada,Meng Wanzhou arrested,Detention / judicial dispute,12,-2.083530982709945
GDELT,v3,Canada,China suspends canola seed licences of Richardson and Viterra,Economic sanction / tariff barrier,0,0.48792584593402166
GDELT,v3,Canada,China suspends canola seed licences of Richardson and Viterra,Economic sanction / tariff barrier,1,1.1684124655206585
GDELT,v3,Canada,China suspends canola seed licences of Richardson and Viterra,Economic sanction / tariff barrier,3,0.4237498117489229
GDELT,v3,Canada,China suspends canola seed licences of Richardson and Viterra,Economic sanction / tariff barrier,6,0.9422510263846169
GDELT,v3,Canada,China suspends canola seed licences of Richardson and Viterra,Economic sanction / tariff barrier,12,1.7451667341793569
GDELT,v3,Canada,Meng Released / Michaels Freed,Strategic partnership upgrade,0,0.22966340201044844
GDELT,v3,Canada,Meng Released / Michaels Freed,Strategic partnership upgrade,1,0.44631107141059945
GDELT,v3,Canada,Meng Released / Michaels Freed,Strategic partnership upgrade,3,0.09841750581918651
GDELT,v3,Canada,Meng Released / Michaels Freed,Strategic partnership upgrade,6,1.207278032708292
GDELT,v3,Canada,Meng Released / Michaels Freed,Strategic partnership upgrade,12,1.7602231117297742
