db,version,country,event_name,category,post_month,shock
GDELT,v3,Canada,Canada imposes 100% surtax on Chinese-made EVs,Economic sanction / tariff barrier,0,-0.5974797839499407
GDELT,v3,Canada,Canada imposes 100% surtax on Chinese-made EVs,Economic sanction / tariff barrier,1,-0.8307765383828544
GDELT,v3,Canada,Canada imposes 100% surtax on Chinese-made EVs,Economic sanction / tariff barrier,3,0.4369816048183127
GDELT,v3,Canada,Canada imposes 100% surtax on Chinese-made EVs,Economic sanction / tariff barrier,6,0.39868231441619406
GDELT,v3,Canada,Canada imposes 100% surtax on Chinese-made EVs,Economic sanction / tariff barrier,12,0.3603403378195905
GDELT,v3,France,China-France comprehensive strategic partnership established,Strategic partnership upgrade,0,-0.47316991754818893
GDELT,v3,France,China-France comprehensive strategic partnership established,Strategic partnership upgrade,1,-0.10029132172450317
GDELT,v3,France,China-France comprehensive strategic partnership established,Strategic partnership upgrade,3,0.5063027769149091
GDELT,v3,France,China-France comprehensive strategic partnership established,Strategic partnership upgrade,6,-3.5222407995897846
GDELT,v3,France,China-France comprehensive strategic partnership established,Strategic partnership upgrade,12,-0.5905950160033147
GDELT,v3,France,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,0,2.21573400423126
GDELT,v3,France,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,1,1.2592796163085698
GDELT,v3,France,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,3,1.4655763344494215
GDELT,v3,France,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,6,2.661978651157993
GDELT,v3,France,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,12,0.5178790182793485
GDELT,v3,France,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,0,0.36854675080102517
GDELT,v3,France,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,1,0.09426414760788049
GDELT,v3,France,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,3,-0.25511860414366083
GDELT,v3,France,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,6,-0.31344791719397413
GDELT,v3,France,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,12,-0.30280107648074583
GDELT,v3,France,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,0,-1.6731917168587962
GDELT,v3,France,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,1,1.0386696318294704
GDELT,v3,France,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,3,0.988983323492316
GDELT,v3,France,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,6,0.4946028369431048
GDELT,v3,France,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,12,-0.0929684943370368
GDELT,v3,France,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,0,-1.4414443594709727
GDELT,v3,France,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,1,-0.5732676249938642
