category,post_month,mean_shock,sd_shock,n_countries,se,ci_l,ci_u,significant
Multilateral / third-party meeting,1,0.27921542675127486,0.22423648469824253,3,0.12946299480266574,0.02546795693805004,0.5329628965644997,*
Multilateral / third-party meeting,3,-0.10935289945285526,0.41177474873427033,3,0.2377382620272215,-0.5753198930262093,0.3566140941204989,
Multilateral / third-party meeting,6,-1.0627054032546797,1.26632902255639,3,0.7311154020555675,-2.4956915912835917,0.37028078477423265,
Multilateral / third-party meeting,12,-0.2337510537722523,0.8272867222874488,3,0.47763421180966176,-1.1699141089191893,0.7024120013746846,
Negative strategic positioning,0,-0.05211891135049839,0.519378524443238,5,0.23227313734172322,-0.5073742605402759,0.4031364378392791,
Negative strategic positioning,1,0.35329272801766903,1.2817288770435127,5,0.5732065795587528,-0.7701921679174863,1.4767776239528243,
Negative strategic positioning,3,0.1356061986849522,0.5854954700229841,4,0.29274773501149204,-0.43817936193757223,0.7093917593074766,
Negative strategic positioning,6,0.21203522672736597,0.5183927107150006,4,0.2591963553575003,-0.29598962977333465,0.7200600832280666,
Negative strategic positioning,12,-0.37764274923930613,0.763544326636262,4,0.381772163318131,-1.1259161893428429,0.37063069086423067,
Pandemic / crisis aid,0,0.8944952780018177,1.585778695365716,11,0.47813026664248887,-0.042640044617460404,1.8316306006210958,
Pandemic / crisis aid,1,0.7313711423721221,2.1271463393254897,11,0.6413587528836963,-0.5256920132799225,1.9884342980241667,
Pandemic / crisis aid,3,0.923075050489499,1.915290502237109,11,0.5774818145865309,-0.2087893061001015,2.0549394070790994,
Pandemic / crisis aid,6,0.16489117226579364,1.7094289975363979,11,0.5154122355074179,-0.8453168093287454,1.1750991538603328,
Pandemic / crisis aid,12,0.5172615657243176,1.814047990030087,11,0.5469560486025611,-0.5547722895367022,1.5892954209853374,
Pandemic / disaster shock,0,-0.2487523034407554,2.6794540795413817,7,1.0127384491262823,-2.2337196637282686,1.7362150568467578,
Pandemic / disaster shock,1,0.38462688763825814,1.85380674844507,7,0.7006730907369899,-0.988692370206242,1.7579461454827583,
Pandemic / disaster shock,3,-0.024110318314917046,1.2673993132261887,7,0.4790319135157929,-0.9630128688058711,0.914792232176037,
Pandemic / disaster shock,6,0.165621242164088,1.9714119856749162,7,0.7451236922496939,-1.294821194645312,1.626063678973488,
Pandemic / disaster shock,12,-0.5665937955967767,2.1461018080712755,7,0.8111502389118093,-2.156448263863923,1.0232606726703692,
Policy shift / domestic politics,0,-0.42265850342028854,1.349194818239144,5,0.6033782656946398,-1.6052799041817825,0.7599628973412054,
Policy shift / domestic politics,1,-0.35959348223048754,1.2551000732325266,5,0.5612978164625787,-1.4597372024971418,0.7405502380361666,
Policy shift / domestic politics,3,-0.46131678070854576,1.9482095026780155,5,0.8712657764798202,-2.1689977026089933,1.246364141191902,
Policy shift / domestic politics,6,-0.29059469836646407,1.3066931932556987,5,0.5843709611712024,-1.4359617822620205,0.8547723855290925,
Policy shift / domestic politics,12,-0.44011655163879415,1.2549981211865784,5,0.5612522221215416,-1.5401709069970155,0.6599378037194272,
Security threat,0,-0.36250198079742324,0.5362403790785948,3,0.3095985272113737,-0.9693150941317157,0.2443111325368692,
Security threat,1,-0.6478637373579851,0.9516929248984559,3,0.5494601663759858,-1.7248056634549171,0.4290781887389471,
Security threat,3,-0.17070682524032532,1.419180369356013,3,0.8193641682763266,-1.7766605950619256,1.4352469445812748,
Security threat,6,-0.19871356425705095,0.7897266016584289,3,0.45594886605370233,-1.0923733417223076,0.6949462132082056,
Security threat,12,0.0433550598263726,1.0228001545197076,3,0.5905139445391441,-1.1140522714703498,1.200762391123095,
Sovereignty dispute,0,-0.7430173403694563,1.344974237927485,10,0.4253181986100076,-1.5766410096450711,0.0906063289061585,
Sovereignty dispute,1,-0.5452701038898093,1.4543154597141406,10,0.4598949289091533,-1.4466641645517497,0.35612395677213105,
Sovereignty dispute,3,-0.10725689616514594,1.3267859371827526,10,0.4195665528978585,-0.9296073398449485,0.7150935475146567,
Sovereignty dispute,6,0.18929125920434084,1.2468343666917783,10,0.39428364637195995,-0.5835046876847007,0.9620872060933824,
Sovereignty dispute,12,-0.10212331475238468,1.6023352699906943,10,0.5067029028391441,-1.095261004317107,0.8910143748123377,
Strategic partnership upgrade,0,0.35326319841045256,0.8139504451933051,22,0.17353481799318066,0.01313495514381846,0.6933914416770867,*
Strategic partnership upgrade,1,0.06515227721759333,1.3277140135185554,22,0.28306957879753863,-0.48966409722558235,0.619968651660769,
Strategic partnership upgrade,3,-0.20848705727249017,1.4072644957438687,22,0.3000297985944097,-0.7965454625175332,0.3795713479725529,
Strategic partnership upgrade,6,0.013030761417621656,1.4085269221290908,22,0.30029894880408525,-0.5755551782383855,0.6016167010736287,
Strategic partnership upgrade,12,-0.14770546918627667,1.3720843053138487,21,0.2994133423315053,-0.734555620156027,0.43914468178347366,
Tech control / export restriction,0,-0.6277921867412946,1.048307352885829,11,0.3160765594993625,-1.247302243360045,-0.008282130122544085,*
Tech control / export restriction,1,-0.2715863950666788,1.3450159366288303,11,0.40553756353147874,-1.0664400195883772,0.5232672294550195,
Tech control / export restriction,3,-0.18343376048636986,1.0361405798575167,11,0.3124081394044235,-0.7957537137190399,0.42888619274630024,
Tech control / export restriction,6,-0.370524220300635,0.7541595900246585,11,0.22738767201454976,-0.8162040574491525,0.07515561684788258,
Tech control / export restriction,12,-0.20603505020553964,0.8922387505526055,11,0.2690201053634999,-0.7333144567179994,0.3212443563069202,
