country,month,value,zscore,db
Australia,2006-03-01,2.580316996851156,1.676118932912832,GDELT
Australia,2006-04-01,0.44520356412794726,-0.3920523498301205,GDELT
Australia,2006-05-01,2.4986799019113004,1.5970414034600644,GDELT
Australia,2006-06-01,1.3691131880846117,0.5028899622885844,GDELT
Australia,2006-07-01,2.939441910004067,2.023984213003875,GDELT
Australia,2006-08-01,1.3746531384934837,0.5082562187917978,GDELT
Australia,2006-09-01,3.129840984716383,2.20841371100886,GDELT
Australia,2006-10-01,3.2141041791434777,2.290035003927256,GDELT
Australia,2006-11-01,3.371639455260393,2.442631081067961,GDELT
Australia,2006-12-01,3.094974971540573,2.1746408509402606,GDELT
Australia,2007-01-01,0.14997039918484845,-0.6780290778533506,GDELT
Australia,2007-02-01,2.175542149671676,1.2840349798623651,GDELT
Australia,2007-03-01,1.736568274282229,0.8588242397487122,GDELT
Australia,2007-04-01,1.402888265095525,0.535606090282454,GDELT
Australia,2007-05-01,0.07624078293818926,-0.749447051564711,GDELT
Australia,2007-06-01,-0.7527687315297396,-1.5524646545950398,GDELT
Australia,2007-07-01,-0.2461240220359251,-1.0617047620902604,GDELT
Australia,2007-08-01,1.7288614200854582,0.8513590183296708,GDELT
Australia,2007-09-01,2.4274604668664868,1.5280549093116031,GDELT
Australia,2007-10-01,0.9993765209614232,0.1447456382439518,GDELT
Australia,2007-11-01,1.6094684928426908,0.735709414097088,GDELT
Australia,2007-12-01,1.3685458489942928,0.502340410964429,GDELT
Australia,2008-01-01,0.6112380100904407,-0.23122357707129096,GDELT
Australia,2008-02-01,1.6336011883485622,0.7590854778956119,GDELT
Australia,2008-03-01,-0.8172322873915743,-1.6149070864460253,GDELT
Australia,2008-04-01,0.7058627522068992,-0.13956560176989757,GDELT
Australia,2008-05-01,0.8760519799966993,0.025287688061234898,GDELT
Australia,2008-06-01,0.8868662374382428,0.03576288640058656,GDELT
Australia,2008-07-01,0.4232379113332741,-0.4133293141451751,GDELT
Australia,2008-08-01,0.841389487777203,-0.008288032037734016,GDELT
Australia,2008-09-01,1.2699868042369218,0.4068714850995441,GDELT
Australia,2008-10-01,1.2434949111679128,0.38121019159115166,GDELT
Australia,2008-11-01,0.8656274907560597,0.015190037531606792,GDELT
Australia,2008-12-01,1.6418986690324058,0.7671228079064827,GDELT
Australia,2009-01-01,1.4872235162433185,0.6172971807292595,GDELT
Australia,2009-02-01,1.6127163011783558,0.7388553939915184,GDELT
Australia,2009-03-01,1.1716290928826751,0.31159758023739226,GDELT
Australia,2009-04-01,1.7745544002227316,0.8956193877763294,GDELT
Australia,2009-05-01,1.9083213696344803,1.0251923652476387,GDELT
Australia,2009-06-01,0.4521739278858892,-0.3853005276863849,GDELT
Australia,2009-07-01,-0.5883649447804924,-1.3932154150380949,GDELT
Australia,2009-08-01,0.846974756962938,-0.0028778776359637864,GDELT
Australia,2009-09-01,1.2558444585994355,0.393172544017632,GDELT
Australia,2009-10-01,1.07788333914681,0.220791034419204,GDELT
