country,year,indicator_type,favorable,unfavorable,n_sample,source,wave,gdelt_mean,gdelt_std,gdelt_n_months,icews_mean,icews_std,icews_n_months,phoenix_mean,phoenix_std,phoenix_n_months,tsinghua_mean,tsinghua_std,tsinghua_n_months,polling_z,polling_z_by_source,n_obs,polling_z_pew,n_events_total,n_positive,n_negative,n_neutral,has_negative,has_positive,has_any_event,n_visit_total,n_visit_state_head,n_visit_gov_head,n_visit_china_to_partner,n_visit_partner_to_china,n_visit_third_party,n_conflict,n_cooperative,has_conflict,n_high_level_visit,n_economic_win_win_cooperation,n_multilateral___third_party_meeting,n_strategic_partnership_upgrade,n_sovereignty_dispute
France,2008,好感度%（四级题，1-2档）,28.8,71.2,754,Pew Research Center,Pew_2008_24国,0.961868681779483,1.14507714491283,12,1.245965038462,0.727274889301225,12,1.76825669205334,2.01128786996459,12,6.29166666666667,0.323217723786455,12,-0.869899373946437,-0.869899373946437,14,-1.02688474968602,2,0,2,0,1,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0
France,2009,好感度%（四级题，1-2档）,40.2,59.6,752,Pew Research Center,Pew_2009春_25国,1.14504372441322,0.953682077462672,12,1.28776917837888,0.757851191205696,12,1.11746288169864,2.07518943838004,12,5.675,0.0452267016866649,12,-0.114029362786816,-0.114029362786816,14,-0.201526983888281,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
France,2010,好感度%（四级题，1-2档）,39.4,60.5,751,Pew Research Center,Pew_2010_22国,1.38810412660568,0.743214399900723,12,2.25643399119404,1.3785150601132,12,2.47949710803877,1.28071393196655,12,5.79166666666667,0.0668557923421526,12,-0.167072872341877,-0.167072872341877,14,-0.259446827102158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2011,好感度%（四级题，1-2档）,51.2,48.7,1003,Pew Research Center,Pew_2011_23国,1.15410474754998,0.692264244549919,12,1.54754815446698,1.08967246910449,12,1.76888379397915,1.53260773163848,12,5.93333333333333,0.0492365963917331,12,0.615318893595275,0.615318893595275,14,0.594870860302518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2012,好感度%（四级题，1-2档）,38.2,61.8,1004,Pew Research Center,Pew_2012_21国,1.64954280267135,0.844070245487968,12,1.02653310380861,1.24728314111969,12,2.42561623164109,1.60454691956598,12,6,0,12,-0.246638136674469,-0.246638136674469,14,-0.346326591922972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2013,好感度%（四级题，1-2档）,42.2,57.7,1003,Pew Research Center,Pew_2013_39国,2.0807204833201,0.764183409658518,12,2.35985226447921,1.07731155866565,12,1.11981170212034,3.18909596039292,12,6.15,0.0904534033733292,12,0.018579411100837,0.018579411100837,14,-0.0567273758535905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2014,好感度%（四级题，1-2档）,44.9,54.9,1001,Pew Research Center,Pew_2014_44国,2.20685762714379,0.687423990723561,12,2.79578502595034,1.71207750389716,12,1.81910262579763,1.06269737505373,12,6.40833333333333,0.0900336637378524,12,0.197601255849168,0.197601255849168,14,0.138752094993242,2,2,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0
France,2016,好感度%（四级题，1-2档）,33.5,60.3,937,Pew Research Center,Pew_2016_19国,1.08325581752086,0.677332614195486,12,2.06844021161826,1.5347685706244,12,1.37894535814325,2.52208193177712,12,6.775,0.0452267016866649,12,-0.558268755310453,-0.558268755310453,14,-0.686605670804496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2017,好感度%（四级题，1-2档）,40.8,55.2,960,Pew Research Center,Pew_2017_38国,1.87305636527668,0.859409527433454,12,1.87861174131139,2.16956769638656,12,-0.10990788468932,2.21538632356784,12,6.8,0,12,-0.0742467306205203,-0.0742467306205203,14,-0.158087101477874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2018,好感度%（四级题，1-2档）,40.8,54.5,956,Pew Research Center,Pew_2018_27国,2.15443712026775,0.607957598316559,12,2.01422958903878,1.10751382994787,12,0.525800784714341,3.34245994510514,12,6.9,0,12,-0.0742467306205203,-0.0742467306205203,14,-0.158087101477874,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
France,2019,好感度%（四级题，1-2档）,32.6,64.1,993,Pew Research Center,Pew_2019_34国,1.81985680480662,0.449693132615828,12,1.72787282923798,1.19763816084027,12,0.768444682208096,4.65698656093343,3,6.83333333333333,0.065133894727893,12,-0.617942703559896,-0.617942703559896,14,-0.751765494420106,3,3,0,0,0,1,1,3,2,0,1,1,0,0,1,0,2,1,0,0,0
Germany,2005,好感度%（四级题，1-2档）,46.5,40.1,650,Pew Research Center,Pew_2005_22国,0.856724436889275,1.73594661514732,12,1.68715311050271,1.36814731280955,12,1.07131123238687,3.61962950353181,12,5.68333333333333,0.0717740562565272,12,0.30368827495929,0.30368827495929,14,0.254591781420994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,2006,好感度%（四级题，1-2档）,57.6,28.9,781,Pew Research Center,Pew_2006_15国,2.39482914793682,0.826270735780332,12,2.30202024187003,0.47241744704698,12,1.20237368127915,1.57139990402878,12,5.9,0.0852802865422439,12,1.03966697003576,1.03966697003576,14,1.05822960601353,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
Germany,2008,好感度%（四级题，1-2档）,22,72.7,710,Pew Research Center,Pew_2008_24国,1.78725282222332,0.945037578804189,12,1.50828931485847,0.969961271633686,12,2.35204976340748,1.98453880575174,12,5.75833333333333,0.0900336637378519,12,-1.32076920516446,-1.32076920516446,14,-1.51920341700397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,2009,好感度%（四级题，1-2档）,29.6,63.5,699,Pew Research Center,Pew_2009春_25国,1.50237120607681,0.811928194430488,12,2.02416581164575,1.78537454628022,12,1.93220068109624,3.1644760058669,12,5.95,0.052223296786709,12,-0.816855864391376,-0.816855864391376,14,-0.968964906472142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,2010,好感度%（四级题，1-2档）,29.3,63.9,699,Pew Research Center,Pew_2010_22国,1.79948874024534,0.780257049237923,12,2.39619401998094,1.05426598913997,12,1.11138635257554,2.31294084836844,12,6.04166666666667,0.124011240937215,12,-0.836747180474523,-0.836747180474523,14,-0.990684847677346,2,1,0,1,0,1,1,2,0,1,0,1,0,0,1,0,1,0,0,1,0
Germany,2011,好感度%（四级题，1-2档）,30.9,62.7,937,Pew Research Center,Pew_2011_23国,1.17944149041401,0.601454801359458,12,1.34106922581293,1.29850849153065,12,1.95493600857226,1.48443049457298,12,6.25833333333333,0.0514928650544435,12,-0.730660161364401,-0.730660161364401,14,-0.874845161249594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
