term,estimate,se,t_value,pvalue,trade,model,r_squared,adj_r_squared,f_statistic,n_obs,sig
(Intercept),0.0911866617842936,0.0585875913328675,1.5564159527606,0.135292381752731,Trade_Exports,weighted_FE_only,0.365140126492914,0.269911145466851,3.83433827138169,24,""
FTA,-0.278301308380432,0.0898255915106818,-3.09824075411001,0.00566743968565266,Trade_Exports,weighted_FE_only,0.365140126492914,0.269911145466851,3.83433827138169,24,***
developed,-0.0107981615016583,0.0667446568937314,-0.161783159944185,0.873099854781411,Trade_Exports,weighted_FE_only,0.365140126492914,0.269911145466851,3.83433827138169,24,""
z_trade_dep,-0.00337023702069557,0.0237563959918273,-0.141866511311522,0.88860478838207,Trade_Exports,weighted_FE_only,0.365140126492914,0.269911145466851,3.83433827138169,24,""
(Intercept),0.131018976545784,0.0803711348332833,1.63017452494059,0.121451543299923,Trade_Exports,weighted_with_region,0.434875139127064,0.235419305877792,2.18030795110201,24,""
FTA,-0.272036953568229,0.112483613531432,-2.41845852055786,0.0270945603740129,Trade_Exports,weighted_with_region,0.434875139127064,0.235419305877792,2.18030795110201,24,**
developed,-0.0108570058496571,0.0869091417929074,-0.12492363433444,0.902049363816558,Trade_Exports,weighted_with_region,0.434875139127064,0.235419305877792,2.18030795110201,24,""
z_trade_dep,-0.00817468410510488,0.0328075631552923,-0.249170719154318,0.806214305540674,Trade_Exports,weighted_with_region,0.434875139127064,0.235419305877792,2.18030795110201,24,""
factor(region)Asia_MiddleEast,-0.0512394885091053,0.0906674114632228,-0.565136774968915,0.579363181417671,Trade_Exports,weighted_with_region,0.434875139127064,0.235419305877792,2.18030795110201,24,""
factor(region)Europe,-0.0580499361348143,0.110967567850437,-0.523125245144189,0.607638996612222,Trade_Exports,weighted_with_region,0.434875139127064,0.235419305877792,2.18030795110201,24,""
factor(region)Other,0.177638447713788,0.200040428360854,0.888012734072659,0.386925893794251,Trade_Exports,weighted_with_region,0.434875139127064,0.235419305877792,2.18030795110201,24,""
(Intercept),0.229634687245304,0.13124220297019,1.74970155977543,0.0954989901453084,Trade_Exports,unweighted_FE_only,0.171700728994739,0.0474558383439496,1.38195404330414,24,*
FTA,-0.408429266349274,0.220567115863444,-1.85172329406592,0.0788872826288281,Trade_Exports,unweighted_FE_only,0.171700728994739,0.0474558383439496,1.38195404330414,24,*
developed,-0.113360099462366,0.162548082668221,-0.697394257757855,0.493584168791973,Trade_Exports,unweighted_FE_only,0.171700728994739,0.0474558383439496,1.38195404330414,24,""
z_trade_dep,-0.042605710755391,0.0791424242236943,-0.538342250358251,0.596282012947856,Trade_Exports,unweighted_FE_only,0.171700728994739,0.0474558383439496,1.38195404330414,24,""
(Intercept),-0.065075294439292,0.0716746016316835,-0.907926838208274,0.374727559929261,Trade_Imports,weighted_FE_only,0.319333577150715,0.217233613723322,3.12765613650592,24,""
FTA,-0.140713251261467,0.110043909359475,-1.27870094838058,0.215641723422025,Trade_Imports,weighted_FE_only,0.319333577150715,0.217233613723322,3.12765613650592,24,""
developed,0.158614321719036,0.0840228506812537,1.88775220589396,0.0736559787109145,Trade_Imports,weighted_FE_only,0.319333577150715,0.217233613723322,3.12765613650592,24,*
z_trade_dep,-0.0140027299149111,0.0325733232365042,-0.429883368462035,0.671876657717885,Trade_Imports,weighted_FE_only,0.319333577150715,0.217233613723322,3.12765613650592,24,""
(Intercept),0.0630921186798138,0.0773743655073241,0.815413713135284,0.426112956619005,Trade_Imports,weighted_with_region,0.662946383377351,0.543986283392886,5.57284655497035,24,""
FTA,-0.145162272017846,0.100402053687812,-1.44580978860463,0.166414594675933,Trade_Imports,weighted_with_region,0.662946383377351,0.543986283392886,5.57284655497035,24,""
