trade,variable,estimate,pvalue,sig,dropped
Trade_Exports,Event_Negative_x_developed,0.00846140473392373,0.882910616520944,"",BE
Trade_Exports,Event_Negative_x_us_ally,0.033609865237013,0.48865080080718,"",BE
Trade_Exports,Event_Neutral_x_z_trade_dep,-0.010336207427949,0.0663336132384272,*,BE
Trade_Exports,Event_Neutral_x_FTA_Dummy,-0.018871187080762,0.440695890997233,"",BE
Trade_Exports,Event_Neutral_x_developed,0.00337842339579729,0.867767028429307,"",BE
Trade_Imports,Event_Positive_x_z_trade_dep,0.000897203612751663,0.97482604082756,"",BE
Trade_Imports,Event_Positive_x_FTA_Dummy,0.10415052353795,0.012296334221237,**,BE
Trade_Imports,Event_Positive_x_developed,-0.113474903502349,0.0183533409563142,**,BE
Trade_Imports,Event_Positive_x_us_ally,0.132752528410144,0.0206915640113997,**,BE
Trade_Imports,Event_Negative_x_z_trade_dep,-0.0417596760216167,0.000945065497194738,***,BE
Trade_Imports,Event_Negative_x_FTA_Dummy,-0.0286967153474314,0.300960153449047,"",BE
Trade_Imports,Event_Negative_x_developed,0.214092050168118,0.00794589687547922,***,BE
Trade_Imports,Event_Negative_x_us_ally,-0.051002983951145,0.347747463078925,"",BE
Trade_Imports,Event_Neutral_x_z_trade_dep,-0.0198112806452434,0.0065733366281263,***,BE
Trade_Imports,Event_Neutral_x_FTA_Dummy,-0.0481799037557871,0.143948069075084,"",BE
Trade_Imports,Event_Neutral_x_developed,0.00151764988799083,0.954845299917352,"",BE
Trade_Total,Event_Positive_x_z_trade_dep,-0.0195359408677824,0.175676431956433,"",BR
Trade_Total,Event_Positive_x_FTA_Dummy,0.118500129383938,0.00151076568002209,***,BR
Trade_Total,Event_Positive_x_developed,-0.0789505061393232,0.0494264723268852,**,BR
Trade_Total,Event_Positive_x_us_ally,0.102643681271855,0.00558284347514673,***,BR
Trade_Total,Event_Negative_x_z_trade_dep,-0.0391498546845067,1.3078105703455e-06,***,BR
Trade_Total,Event_Negative_x_FTA_Dummy,-0.0451069568438945,0.174533522236879,"",BR
Trade_Total,Event_Negative_x_developed,0.075630086937133,0.230674939932744,"",BR
Trade_Total,Event_Negative_x_us_ally,0.0176889675845319,0.700891729363947,"",BR
