dimension,group,trade,event,horizon,estimate,se,pvalue,n,n_country,sig,ci_lower,ci_upper,trade_label
trade_dep,高依存,Trade_Total,Event_Negative,12,-0.0366492035285177,0.0307834922995307,0.233831352198445,2010,8,"",-0.0969848484355979,0.0236864413785625,总贸易
trade_dep,高依存,Trade_Total,Event_Neutral,0,0.00682944953930022,0.00440697402366675,0.121215614457017,2106,8,"",-0.00180821954708661,0.0154671186256871,总贸易
trade_dep,高依存,Trade_Total,Event_Neutral,1,-0.00450216384970972,0.00890662013961107,0.613218154936327,2098,8,"",-0.0219591393233474,0.012954811623928,总贸易
trade_dep,高依存,Trade_Total,Event_Neutral,3,-0.000315584374190038,0.00952737228254422,0.973575729570026,2082,8,"",-0.0189892340479767,0.0183580652995966,总贸易
trade_dep,高依存,Trade_Total,Event_Neutral,6,0.0145325806379726,0.00913878137034904,0.111787498994891,2058,8,"",-0.00337943084791154,0.0324445921238567,总贸易
trade_dep,高依存,Trade_Total,Event_Neutral,12,0.0177734458747066,0.00737161221994123,0.0159059562610418,2010,8,**,0.00332508592362175,0.0322218058257914,总贸易
trade_dep,低依存,Trade_Total,Event_Positive,0,-0.0395063862162347,0.0303206229971508,0.192590362917317,2354,9,"",-0.0989348072906503,0.0199220348581809,总贸易
trade_dep,低依存,Trade_Total,Event_Positive,1,-0.0515403021075757,0.0300689867748074,0.0865161519531567,2345,9,*,-0.110475516186198,0.00739491197104684,总贸易
trade_dep,低依存,Trade_Total,Event_Positive,3,-0.0347501093748353,0.0235139292021944,0.139447372799335,2327,9,"",-0.0808374106111364,0.0113371918614657,总贸易
trade_dep,低依存,Trade_Total,Event_Positive,6,-0.0298350089654091,0.0179621347124165,0.0967145289697162,2300,9,*,-0.0650407930017456,0.00537077507092729,总贸易
trade_dep,低依存,Trade_Total,Event_Positive,12,-0.0103905271107578,0.0157645730228176,0.509827603489292,2246,9,"",-0.0412890902354803,0.0205080360139646,总贸易
trade_dep,低依存,Trade_Total,Event_Negative,0,0.0417816077214295,0.0602816935371387,0.488242988435627,2354,9,"",-0.0763705116113624,0.159933727054221,总贸易
trade_dep,低依存,Trade_Total,Event_Negative,1,0.0567371417962977,0.0537244514885805,0.290933171404367,2345,9,"",-0.04856278312132,0.162037066713915,总贸易
trade_dep,低依存,Trade_Total,Event_Negative,3,0.0551789705570767,0.0545499554049726,0.311762355053199,2327,9,"",-0.0517389420366695,0.162096883150823,总贸易
trade_dep,低依存,Trade_Total,Event_Negative,6,0.0275007793633878,0.0450327641472078,0.541408935369822,2300,9,"",-0.0607634383651396,0.115764997091915,总贸易
trade_dep,低依存,Trade_Total,Event_Negative,12,0.0198607445704194,0.0433133736071594,0.646567346936535,2246,9,"",-0.0650334676996131,0.104754956840452,总贸易
trade_dep,低依存,Trade_Total,Event_Neutral,0,0.0387358586121278,0.0288455717019161,0.179314007629971,2354,9,"",-0.0178014619236278,0.0952731791478834,总贸易
trade_dep,低依存,Trade_Total,Event_Neutral,1,0.021480257359974,0.0160056082254535,0.17958118515826,2345,9,"",-0.00989073476191481,0.0528512494818628,总贸易
trade_dep,低依存,Trade_Total,Event_Neutral,3,0.0174384770194133,0.02782695963232,0.530871891898513,2327,9,"",-0.037102363859934,0.0719793178987606,总贸易
trade_dep,低依存,Trade_Total,Event_Neutral,6,0.0466103556294947,0.0266132050905911,0.0798771091060825,2300,9,*,-0.00555152634806386,0.0987722376070532,总贸易
trade_dep,低依存,Trade_Total,Event_Neutral,12,0.021515168651026,0.0126451826595951,0.0888581835981197,2246,9,*,-0.00326938936178048,0.0462997266638324,总贸易
trade_dep,中依存,Trade_Total,Event_Positive,0,0.00164513493225222,0.0137310353380362,0.904632530049429,2225,8,"",-0.0252676943302987,0.0285579641948031,总贸易
trade_dep,中依存,Trade_Total,Event_Positive,1,0.00601946868780036,0.0104124119240798,0.563193147756502,2217,8,"",-0.0143888586833961,0.0264277960589968,总贸易
trade_dep,中依存,Trade_Total,Event_Positive,3,0.0402955382158789,0.00896849929030039,7.02241765801506e-06,2201,8,***,0.0227172796068901,0.0578737968248676,总贸易
trade_dep,中依存,Trade_Total,Event_Positive,6,0.0188434264775676,0.0161084519314638,0.242087475686691,2177,8,"",-0.0127291393081014,0.0504159922632366,总贸易
trade_dep,中依存,Trade_Total,Event_Positive,12,0.0317635216967889,0.0117558144994112,0.00689359142306187,2129,8,***,0.00872212527794298,0.0548049181156349,总贸易
trade_dep,中依存,Trade_Total,Event_Negative,0,-0.00608669222780344,0.0193272182734258,0.752815927506128,2225,8,"",-0.0439680400437181,0.0317946555881112,总贸易
trade_dep,中依存,Trade_Total,Event_Negative,1,0.0109672483526944,0.0129565742222998,0.397295037037077,2217,8,"",-0.0144276371230132,0.036362133828402,总贸易
trade_dep,中依存,Trade_Total,Event_Negative,3,-0.0106462386884102,0.0188169921785401,0.571544758322877,2201,8,"",-0.0475275433583489,0.0262350659815285,总贸易
trade_dep,中依存,Trade_Total,Event_Negative,6,-0.0271541443045789,0.0189502716281189,0.151881891211065,2177,8,"",-0.0642966766956919,0.0099883880865341,总贸易
trade_dep,中依存,Trade_Total,Event_Negative,12,-0.0477232141276232,0.0325192327638402,0.142229723844022,2129,8,"",-0.11146091034475,0.0160144820895036,总贸易
trade_dep,中依存,Trade_Total,Event_Neutral,0,0.0233240729172572,0.0159171983752875,0.142828770333922,2225,8,"",-0.00787363589830626,0.0545217817328206,总贸易
trade_dep,中依存,Trade_Total,Event_Neutral,1,0.0258169381332823,0.0214609881103481,0.228987690785061,2217,8,"",-0.0162465985629999,0.0678804748295645,总贸易
trade_dep,中依存,Trade_Total,Event_Neutral,3,0.0304797708992929,0.0234146452775443,0.193005418679774,2201,8,"",-0.015412933844694,0.0763724756432798,总贸易
trade_dep,中依存,Trade_Total,Event_Neutral,6,-0.00737256617953837,0.0171715680579767,0.667670508123698,2177,8,"",-0.0410288395731728,0.026283707214096,总贸易
trade_dep,中依存,Trade_Total,Event_Neutral,12,0.019714366541078,0.0184318671062269,0.284808154249944,2129,8,"",-0.0164120929871267,0.0558408260692828,总贸易
developed,发展中,Trade_Exports,Event_Positive,0,0.00163918081553276,0.0195957675992736,0.93333492068282,2967,12,"",-0.0367685236790435,0.0400468853101091,出口
developed,发展中,Trade_Exports,Event_Positive,1,-0.0163654378535617,0.0169091602111568,0.33312203146354,2955,12,"",-0.0495073918674289,0.0167765161603056,出口
developed,发展中,Trade_Exports,Event_Positive,3,-0.00729351168713975,0.0153908829344215,0.635581771383829,2931,12,"",-0.037459642238606,0.0228726188643265,出口
