db,spec,trade,h,Est,SE,pv,cum,n
Phoenix,PH-Export,Trade_Imports,5,0.00468240838378871,0.00405682813279543,0.248416429330441,0.0309025778482981,4865
Phoenix,PH-Export,Trade_Imports,6,0.00416955646493154,0.00435629914993393,0.338500269229751,0.0309025778482981,4840
Phoenix,PH-Import,Trade_Total,0,0.00148255509768576,0.00419737996523952,0.72393127582099,0.0192084016530607,4948
Phoenix,PH-Import,Trade_Total,1,0.00405664098272874,0.00435638031447398,0.351752535731806,0.0192084016530607,4923
Phoenix,PH-Import,Trade_Total,2,0.0023797978979769,0.00332751161319922,0.474492600345567,0.0192084016530607,4898
Phoenix,PH-Import,Trade_Total,3,0.00352850161618061,0.00358585291845129,0.325112449095289,0.0192084016530607,4873
Phoenix,PH-Import,Trade_Total,4,0.00384500574736747,0.00355055054405488,0.278838488720752,0.0192084016530607,4848
Phoenix,PH-Import,Trade_Total,5,0.0049786210038158,0.00393209188958803,0.205459124354412,0.0192084016530607,4823
Phoenix,PH-Import,Trade_Total,6,-0.00106272069269456,0.003503974992246,0.761668840858109,0.0192084016530607,4798
Phoenix,PH-Import,Trade_Exports,0,0.00313491053675984,0.00326876435753185,0.337533236704094,0.00560642021093583,4948
Phoenix,PH-Import,Trade_Exports,1,0.00301853199351285,0.00327603129496585,0.35684214519868,0.00560642021093583,4923
Phoenix,PH-Import,Trade_Exports,2,4.11950468123402e-05,0.00312035539638092,0.989466604640936,0.00560642021093583,4898
Phoenix,PH-Import,Trade_Exports,3,0.00125107151215901,0.00318895956894112,0.69482667749216,0.00560642021093583,4873
Phoenix,PH-Import,Trade_Exports,4,0.00110847195577398,0.00345174185820412,0.748108782697083,0.00560642021093583,4848
Phoenix,PH-Import,Trade_Exports,5,0.000940585755593524,0.00298962187629858,0.753052498066332,0.00560642021093583,4823
Phoenix,PH-Import,Trade_Exports,6,-0.00388834658967571,0.00315804279676155,0.218228618816165,0.00560642021093583,4798
Phoenix,PH-Import,Trade_Imports,0,0.00180476559337057,0.00592740525478158,0.760763610179989,0.0444574544805055,4948
Phoenix,PH-Import,Trade_Imports,1,0.00595212235959259,0.00578127592805799,0.303220506672671,0.0444574544805055,4923
Phoenix,PH-Import,Trade_Imports,2,0.00577911364364984,0.00468289972203155,0.217169852701624,0.0444574544805055,4898
Phoenix,PH-Import,Trade_Imports,3,0.00767746251049534,0.00523363962752049,0.142390964316321,0.0444574544805055,4873
Phoenix,PH-Import,Trade_Imports,4,0.00839011947208322,0.00435620861423104,0.0541026058751019,0.0444574544805055,4848
Phoenix,PH-Import,Trade_Imports,5,0.0101433556473592,0.0059425551451914,0.0878403821217291,0.0444574544805055,4823
Phoenix,PH-Import,Trade_Imports,6,0.00471051525395471,0.00526128459140125,0.37061788708442,0.0444574544805055,4798
