h,estimate,se,pvalue,n,n_country,window_id,db,trade,pol_var
1,0.00225898618173737,0.00218367645292978,0.300908277438777,1163,23,1,ICEWS,Trade_Total,Pol_CHN_Partner
2,0.00167010611488291,0.0021898213978686,0.445661580361217,1163,23,1,ICEWS,Trade_Total,Pol_CHN_Partner
3,0.000399598407362843,0.00155095560383928,0.796679677189012,1163,23,1,ICEWS,Trade_Total,Pol_CHN_Partner
4,-0.000587930739230181,0.00155439984094462,0.70525492066937,1163,23,1,ICEWS,Trade_Total,Pol_CHN_Partner
5,0.00426110760216961,0.00249154498756993,0.0872238978694855,1163,23,1,ICEWS,Trade_Total,Pol_CHN_Partner
6,0.00468679682584684,0.00268688927020503,0.0811031676712444,1163,23,1,ICEWS,Trade_Total,Pol_CHN_Partner
0,0.00189413462410383,0.00148220934913967,0.201280097105311,1169,23,1,ICEWS,Trade_Total,Pol_Partner_CHN
1,0.00292391326426885,0.0015994679075979,0.0675414891759972,1169,23,1,ICEWS,Trade_Total,Pol_Partner_CHN
2,0.00384491460216604,0.00171563345105558,0.02501927830218,1169,23,1,ICEWS,Trade_Total,Pol_Partner_CHN
3,-0.000636375577745858,0.00168870901974957,0.706291425312806,1169,23,1,ICEWS,Trade_Total,Pol_Partner_CHN
4,-0.00193823890708746,0.00159979321764185,0.225682425426599,1169,23,1,ICEWS,Trade_Total,Pol_Partner_CHN
5,0.00227695620619258,0.00149586930355385,0.127968360828513,1169,23,1,ICEWS,Trade_Total,Pol_Partner_CHN
6,0.00343031883836376,0.00109929504789137,0.00180561785393292,1169,23,1,ICEWS,Trade_Total,Pol_Partner_CHN
0,0.00165258711696481,0.0017683866928521,0.350037361367318,1171,23,1,ICEWS,Trade_Exports,Pol_Agg
1,0.00157155752678747,0.00226253548029427,0.487305906369847,1171,23,1,ICEWS,Trade_Exports,Pol_Agg
2,0.00257730762755646,0.0032316793571962,0.425152917221523,1171,23,1,ICEWS,Trade_Exports,Pol_Agg
3,-0.0012037074280089,0.00258445823558925,0.641395564956075,1171,23,1,ICEWS,Trade_Exports,Pol_Agg
