h,estimate,se,pvalue,n,n_country,db,trade,pol_var,window_id,window_label
4,0.00775818557957739,0.00464987859136077,0.0952223496022354,6535,25,GDELT,Trade_Imports,Pol_Partner_CHN,0,Full Sample
5,0.012828904945346,0.0050772792858953,0.011513055275616,6535,25,GDELT,Trade_Imports,Pol_Partner_CHN,0,Full Sample
6,0.0113674659083709,0.00547085931294094,0.0377258566360904,6535,25,GDELT,Trade_Imports,Pol_Partner_CHN,0,Full Sample
0,0.00097881513793403,0.00294596423975906,0.739695745105599,6533,25,ICEWS,Trade_Total,Pol_Agg,0,Full Sample
1,-0.000515895789539105,0.00210294271823767,0.806207974197333,6533,25,ICEWS,Trade_Total,Pol_Agg,0,Full Sample
2,0.00163540614550759,0.00164557617536288,0.32031061661736,6533,25,ICEWS,Trade_Total,Pol_Agg,0,Full Sample
3,-0.00129706889423807,0.00184058108761953,0.480993095481667,6533,25,ICEWS,Trade_Total,Pol_Agg,0,Full Sample
4,-0.000849746321600696,0.00214611356501621,0.6921444389456,6533,25,ICEWS,Trade_Total,Pol_Agg,0,Full Sample
5,5.30306697378482e-07,0.0025459365147185,0.999833804369896,6533,25,ICEWS,Trade_Total,Pol_Agg,0,Full Sample
6,0.0012529789455984,0.00295819316343975,0.671885092669894,6533,25,ICEWS,Trade_Total,Pol_Agg,0,Full Sample
0,0.000583590489750847,0.0032094942007376,0.855714145225127,6525,25,ICEWS,Trade_Total,Pol_CHN_Partner,0,Full Sample
1,-2.10014312831099e-05,0.00207356514457479,0.991919023455825,6525,25,ICEWS,Trade_Total,Pol_CHN_Partner,0,Full Sample
2,0.000950134208747855,0.00160850182925888,0.554724706758583,6525,25,ICEWS,Trade_Total,Pol_CHN_Partner,0,Full Sample
3,-0.00140989204547327,0.00185269946262791,0.44666101510417,6525,25,ICEWS,Trade_Total,Pol_CHN_Partner,0,Full Sample
4,-0.00136922622671989,0.00212964207954394,0.520264816178175,6525,25,ICEWS,Trade_Total,Pol_CHN_Partner,0,Full Sample
5,-0.000424338393326472,0.00212782621918022,0.841931537651742,6525,25,ICEWS,Trade_Total,Pol_CHN_Partner,0,Full Sample
6,0.000736538629647995,0.002762235207472,0.789741829225956,6525,25,ICEWS,Trade_Total,Pol_CHN_Partner,0,Full Sample
0,0.000685420381460663,0.00271213641150174,0.800481950957593,6531,25,ICEWS,Trade_Total,Pol_Partner_CHN,0,Full Sample
1,-0.000956751034472494,0.00212613310345891,0.652713446053928,6531,25,ICEWS,Trade_Total,Pol_Partner_CHN,0,Full Sample
2,0.00109446053087809,0.00162596298655577,0.500873953659056,6531,25,ICEWS,Trade_Total,Pol_Partner_CHN,0,Full Sample
3,-0.000676383875202794,0.00150079188409851,0.652216842188161,6531,25,ICEWS,Trade_Total,Pol_Partner_CHN,0,Full Sample
4,0.000708986791012287,0.00166078680959134,0.669453524273386,6531,25,ICEWS,Trade_Total,Pol_Partner_CHN,0,Full Sample
5,0.00127424309123658,0.00212269988196545,0.548310602909117,6531,25,ICEWS,Trade_Total,Pol_Partner_CHN,0,Full Sample
6,0.00170216973803068,0.00242336974481736,0.482431075575153,6531,25,ICEWS,Trade_Total,Pol_Partner_CHN,0,Full Sample
0,0.00385936286297658,0.0024489867941445,0.115048420489236,6533,25,ICEWS,Trade_Exports,Pol_Agg,0,Full Sample
1,0.00167428196272006,0.0016207579661121,0.301592642649446,6533,25,ICEWS,Trade_Exports,Pol_Agg,0,Full Sample
2,0.00308184912508138,0.00105444979047732,0.00347001463510798,6533,25,ICEWS,Trade_Exports,Pol_Agg,0,Full Sample
3,0.000126464469517678,0.00172376738511794,0.941515541376977,6533,25,ICEWS,Trade_Exports,Pol_Agg,0,Full Sample
4,0.000663482038170105,0.00146746554804326,0.651176883934925,6533,25,ICEWS,Trade_Exports,Pol_Agg,0,Full Sample
5,0.00136465504492072,0.0021473612834297,0.525100256740811,6533,25,ICEWS,Trade_Exports,Pol_Agg,0,Full Sample
6,0.00353891677493167,0.00255298179556516,0.165689020987831,6533,25,ICEWS,Trade_Exports,Pol_Agg,0,Full Sample
0,0.00386420231507876,0.00290325022071329,0.183191700249317,6525,25,ICEWS,Trade_Exports,Pol_CHN_Partner,0,Full Sample
1,0.0016347514828788,0.00187234911966598,0.382607564858375,6525,25,ICEWS,Trade_Exports,Pol_CHN_Partner,0,Full Sample
2,0.00186357582246567,0.00122861836465889,0.129315648053533,6525,25,ICEWS,Trade_Exports,Pol_CHN_Partner,0,Full Sample
3,0.00029760458185252,0.00179587763278878,0.868380925486675,6525,25,ICEWS,Trade_Exports,Pol_CHN_Partner,0,Full Sample
4,7.94603546951728e-05,0.00158326352964112,0.959972813357528,6525,25,ICEWS,Trade_Exports,Pol_CHN_Partner,0,Full Sample
5,0.000697158005131123,0.00207505625666071,0.736892997110634,6525,25,ICEWS,Trade_Exports,Pol_CHN_Partner,0,Full Sample
6,0.00387823147456462,0.0028675578767401,0.176231088700987,6525,25,ICEWS,Trade_Exports,Pol_CHN_Partner,0,Full Sample
0,0.00332132797955954,0.00176832279716211,0.0603488531761728,6531,25,ICEWS,Trade_Exports,Pol_Partner_CHN,0,Full Sample
1,0.000614821919289774,0.00151391693900883,0.684659297913924,6531,25,ICEWS,Trade_Exports,Pol_Partner_CHN,0,Full Sample
2,0.00252005931785508,0.00135291192772293,0.0625054983047734,6531,25,ICEWS,Trade_Exports,Pol_Partner_CHN,0,Full Sample
3,-0.0005374761009791,0.00138717594845807,0.698415207634393,6531,25,ICEWS,Trade_Exports,Pol_Partner_CHN,0,Full Sample
4,0.000931646537579334,0.00130191336656601,0.474239639149656,6531,25,ICEWS,Trade_Exports,Pol_Partner_CHN,0,Full Sample
5,0.00198192636036255,0.00157100399255026,0.207104736281966,6531,25,ICEWS,Trade_Exports,Pol_Partner_CHN,0,Full Sample
6,0.00319559723061926,0.00194789751929931,0.100893638888306,6531,25,ICEWS,Trade_Exports,Pol_Partner_CHN,0,Full Sample
0,-0.00117321998525572,0.00435064788709832,0.787417543094221,6533,25,ICEWS,Trade_Imports,Pol_Agg,0,Full Sample
1,-0.00198953825756242,0.00333823908874201,0.55118568085239,6533,25,ICEWS,Trade_Imports,Pol_Agg,0,Full Sample
2,0.000171870371062376,0.0030447396607832,0.954984682191174,6533,25,ICEWS,Trade_Imports,Pol_Agg,0,Full Sample
3,-0.00176335238168695,0.00297403037528844,0.553236877314311,6533,25,ICEWS,Trade_Imports,Pol_Agg,0,Full Sample
4,-0.00229235536166392,0.00363946028682657,0.528785303582179,6533,25,ICEWS,Trade_Imports,Pol_Agg,0,Full Sample
5,-0.000830222026834415,0.0037826948722153,0.82627694922243,6533,25,ICEWS,Trade_Imports,Pol_Agg,0,Full Sample
6,-0.000616001160151556,0.00426201102451856,0.88507961446641,6533,25,ICEWS,Trade_Imports,Pol_Agg,0,Full Sample
0,-0.00197609150158356,0.00418269865694647,0.636609799072976,6525,25,ICEWS,Trade_Imports,Pol_CHN_Partner,0,Full Sample
1,-0.000380794519728355,0.0028313217273435,0.893012308475276,6525,25,ICEWS,Trade_Imports,Pol_CHN_Partner,0,Full Sample
2,0.000296298122524126,0.00244133914433251,0.903400316633187,6525,25,ICEWS,Trade_Imports,Pol_CHN_Partner,0,Full Sample
3,-0.00209814602831582,0.00259683213802655,0.419111495664032,6525,25,ICEWS,Trade_Imports,Pol_CHN_Partner,0,Full Sample
4,-0.00267457444595853,0.00324432109003466,0.409719994006678,6525,25,ICEWS,Trade_Imports,Pol_CHN_Partner,0,Full Sample
5,-0.000661140634087033,0.00306192204906837,0.829047453011245,6525,25,ICEWS,Trade_Imports,Pol_CHN_Partner,0,Full Sample
6,-0.00168864401364407,0.003402174207387,0.619652710764888,6525,25,ICEWS,Trade_Imports,Pol_CHN_Partner,0,Full Sample
0,-0.0016998828339661,0.00472264177545853,0.71888960377378,6531,25,ICEWS,Trade_Imports,Pol_Partner_CHN,0,Full Sample
1,-0.00233668079113438,0.00360162866880731,0.516477688945549,6531,25,ICEWS,Trade_Imports,Pol_Partner_CHN,0,Full Sample
2,-0.000588147504861066,0.00299527812239386,0.844329788883573,6531,25,ICEWS,Trade_Imports,Pol_Partner_CHN,0,Full Sample
3,-0.000208881660092878,0.00283125904027763,0.941187867299264,6531,25,ICEWS,Trade_Imports,Pol_Partner_CHN,0,Full Sample
4,0.000583294637669539,0.00298842183848459,0.845248246933256,6531,25,ICEWS,Trade_Imports,Pol_Partner_CHN,0,Full Sample
5,0.000886175812364326,0.00345204539512076,0.797402374221035,6531,25,ICEWS,Trade_Imports,Pol_Partner_CHN,0,Full Sample
6,0.000413789569710761,0.00395690934498519,0.916713900328217,6531,25,ICEWS,Trade_Imports,Pol_Partner_CHN,0,Full Sample
0,-0.00211364495371152,0.0014049734824739,0.132477882901236,4842,25,Phoenix,Trade_Total,Pol_Agg,0,Full Sample
1,-0.00154358832401144,0.000751891570457191,0.0400783913903789,4842,25,Phoenix,Trade_Total,Pol_Agg,0,Full Sample
2,-0.000381289002734763,0.000551896537958177,0.489646965439611,4842,25,Phoenix,Trade_Total,Pol_Agg,0,Full Sample
3,0.000197184365028614,0.000621897836638867,0.751191441991961,4842,25,Phoenix,Trade_Total,Pol_Agg,0,Full Sample
4,5.57930021837914e-06,0.00064182670528719,0.993064200346894,4842,25,Phoenix,Trade_Total,Pol_Agg,0,Full Sample
5,-0.000341819300906513,0.000750585526530105,0.648818953720379,4842,25,Phoenix,Trade_Total,Pol_Agg,0,Full Sample
6,-0.00147337839996052,0.00130965968225424,0.260585391840636,4842,25,Phoenix,Trade_Total,Pol_Agg,0,Full Sample
0,-4.55047751714126e-05,0.00100782937479673,0.963986736337554,4840,25,Phoenix,Trade_Total,Pol_CHN_Partner,0,Full Sample
1,-0.00187697611579976,0.000788059558864883,0.0172296845828953,4840,25,Phoenix,Trade_Total,Pol_CHN_Partner,0,Full Sample
