h,estimate,se,pvalue,n,db,pol_var,trade
5,0.00294355521079027,0.00508900458754162,0.562984151956173,4823,Phoenix,Pol_Partner_CHN,Trade_Exports
6,0.000401314670038896,0.00544464014624545,0.941242567276355,4798,Phoenix,Pol_Partner_CHN,Trade_Exports
0,0.00683793831615474,0.00953988981760302,0.473513988333418,4948,Phoenix,Pol_Partner_CHN,Trade_Imports
1,0.00971239505655238,0.00922437597870232,0.292384362038138,4923,Phoenix,Pol_Partner_CHN,Trade_Imports
2,0.0104418593277363,0.00837806103441051,0.21264193163499,4898,Phoenix,Pol_Partner_CHN,Trade_Imports
3,0.0119858293036655,0.00844169869189101,0.155655376463545,4873,Phoenix,Pol_Partner_CHN,Trade_Imports
4,0.0120593984233227,0.00772608265258853,0.118554799827901,4848,Phoenix,Pol_Partner_CHN,Trade_Imports
5,0.0114107916652639,0.00801052829205708,0.154309220062752,4823,Phoenix,Pol_Partner_CHN,Trade_Imports
6,0.00703173299875012,0.00677778772497279,0.299518136788693,4798,Phoenix,Pol_Partner_CHN,Trade_Imports
0,-0.00504452857600007,0.00534992579214301,0.345724066498895,3066,Tsinghua,Pol_Agg,Trade_Total
1,-0.00618257902307917,0.00566696762541703,0.275279300627728,3055,Tsinghua,Pol_Agg,Trade_Total
2,-0.00532851832884933,0.00558221011936989,0.339803530889046,3044,Tsinghua,Pol_Agg,Trade_Total
3,-0.0037429679061049,0.00583528532969679,0.521238801328398,3033,Tsinghua,Pol_Agg,Trade_Total
4,-0.00418555451491318,0.00500270865043246,0.402785024654519,3022,Tsinghua,Pol_Agg,Trade_Total
5,-0.00402194473829016,0.00440656473234545,0.361391616071335,3011,Tsinghua,Pol_Agg,Trade_Total
6,-0.00478893835935259,0.00425866480512486,0.26079402269933,3000,Tsinghua,Pol_Agg,Trade_Total
0,-0.00918900058777722,0.00466365814310654,0.048799210692306,3066,Tsinghua,Pol_Agg,Trade_Exports
1,-0.0122151828210851,0.00551506010113344,0.0267684702262425,3055,Tsinghua,Pol_Agg,Trade_Exports
2,-0.0129102303696508,0.00517328054432259,0.012575859652472,3044,Tsinghua,Pol_Agg,Trade_Exports
3,-0.010152979696138,0.00533563065783284,0.0570582886163035,3033,Tsinghua,Pol_Agg,Trade_Exports
4,-0.0114184011897262,0.00508267837243889,0.0246699323383902,3022,Tsinghua,Pol_Agg,Trade_Exports
5,-0.0115695646710314,0.00453606660217787,0.0107546293424233,3011,Tsinghua,Pol_Agg,Trade_Exports
6,-0.0110476089355173,0.00396419570446258,0.00532235173436342,3000,Tsinghua,Pol_Agg,Trade_Exports
0,-0.00215618571548033,0.00805545908364469,0.788955161313258,3066,Tsinghua,Pol_Agg,Trade_Imports
1,0.0006844399075121,0.00717102979073517,0.923961267026661,3055,Tsinghua,Pol_Agg,Trade_Imports
2,0.0025212146165833,0.00731735622103908,0.730430693698356,3044,Tsinghua,Pol_Agg,Trade_Imports
3,0.00461092652625068,0.00757733080508469,0.542845341726181,3033,Tsinghua,Pol_Agg,Trade_Imports
4,0.00570142613767848,0.00647502229529405,0.378574371740555,3022,Tsinghua,Pol_Agg,Trade_Imports
5,0.00574480312824791,0.00530140671864169,0.278525556640659,3011,Tsinghua,Pol_Agg,Trade_Imports
6,0.00374619423810906,0.00554569610587714,0.499349388134854,3000,Tsinghua,Pol_Agg,Trade_Imports
