window_length,window_id,window_midpoint,db,trade,lag_order,avg_response_lag,immediate_share,peak_lag,sig_lags_count,sum_abs_coef,n,n_country
36,2,2004-07-01,Tsinghua,Trade_Exports,12,6.48616642220195,0.0032738137718555,8,0,0.0300735301124629,355,11
36,2,2004-07-01,Tsinghua,Trade_Imports,3,1.62280357921064,0.363096840503633,3,1,0.0243715346988024,377,11
36,2,2004-07-01,Tsinghua,Trade_Imports,6,3.28993840982246,0.206465585005052,0,0,0.0474956417921367,374,11
36,2,2004-07-01,Tsinghua,Trade_Imports,12,4.68381917268808,0.103986499911761,3,1,0.0742010140539851,355,11
36,3,2005-07-01,GDELT,Trade_Total,3,1.50409657342719,0.395774655230623,0,0,0.00671203474421581,807,23
36,3,2005-07-01,GDELT,Trade_Total,6,2.99120423076939,0.205542400445564,4,0,0.0142958106437155,801,23
36,3,2005-07-01,GDELT,Trade_Total,12,6.44579875489544,0.113783840438764,7,1,0.02844215403806,789,23
36,3,2005-07-01,GDELT,Trade_Exports,3,1.6897472050079,0.288436925446672,3,0,0.00762381234523075,807,23
36,3,2005-07-01,GDELT,Trade_Exports,6,2.82036832411402,0.156815187224051,3,0,0.0114912684195017,801,23
36,3,2005-07-01,GDELT,Trade_Exports,12,5.7490043839073,0.0952567735539979,3,0,0.0214814327989672,789,23
36,3,2005-07-01,GDELT,Trade_Imports,3,0.925255742899956,0.547392173605969,0,1,0.0135190386190004,807,23
36,3,2005-07-01,GDELT,Trade_Imports,6,2.44989724466629,0.314091392052912,0,2,0.0244109612579762,801,23
36,3,2005-07-01,GDELT,Trade_Imports,12,5.75715168133849,0.170229582435554,0,3,0.0486633275056342,789,23
36,3,2005-07-01,ICEWS,Trade_Total,3,1.64172592421431,0.177434224292366,2,0,0.0144650520173605,807,23
36,3,2005-07-01,ICEWS,Trade_Total,6,3.45513224267745,0.0968823973777651,6,1,0.0299887835481082,801,23
36,3,2005-07-01,ICEWS,Trade_Total,12,6.79240792772032,0.0302597709880126,11,3,0.0553634578190031,789,23
36,3,2005-07-01,ICEWS,Trade_Exports,3,2.77964208844755,0.0312587783575361,3,0,0.00998667949362099,807,23
36,3,2005-07-01,ICEWS,Trade_Exports,6,3.85965699664536,0.00758079416776057,3,0,0.0214210735240226,801,23
36,3,2005-07-01,ICEWS,Trade_Exports,12,7.53121695332899,0.0170356698033439,12,2,0.0474252837442657,789,23
36,3,2005-07-01,ICEWS,Trade_Imports,3,1.53473817090771,0.148648738348238,2,1,0.0254169378019393,807,23
36,3,2005-07-01,ICEWS,Trade_Imports,6,3.43326123841074,0.087154095128194,5,3,0.0559446404485658,801,23
36,3,2005-07-01,ICEWS,Trade_Imports,12,5.15137291680811,0.0475585446071614,5,4,0.0820830720979841,789,23
36,3,2005-07-01,Phoenix,Trade_Total,3,1.84327055112931,0.188763905840059,3,1,0.0137696442283433,807,23
36,3,2005-07-01,Phoenix,Trade_Total,6,3.22832006205647,0.122492572726335,3,0,0.0271156655174523,801,23
36,3,2005-07-01,Phoenix,Trade_Total,12,7.33888329200862,0.0494459834750072,12,3,0.0573649016927561,789,23
36,3,2005-07-01,Phoenix,Trade_Exports,3,2.08841486759661,0.0629475279722355,3,2,0.0331138792226803,807,23
36,3,2005-07-01,Phoenix,Trade_Exports,6,2.72034820368341,0.0622602455859354,3,3,0.0459104623565739,801,23
36,3,2005-07-01,Phoenix,Trade_Exports,12,5.60259926747889,0.0311392736208347,3,4,0.0710567676676182,789,23
36,3,2005-07-01,Phoenix,Trade_Imports,3,1.46372874011426,0.115071126283803,2,0,0.0135502094582352,807,23
36,3,2005-07-01,Phoenix,Trade_Imports,6,3.81120605740155,0.0695679787066469,5,1,0.0381836983056035,801,23
36,3,2005-07-01,Phoenix,Trade_Imports,12,6.87335426375612,0.0360061420806353,5,2,0.0730839955569774,789,23
36,3,2005-07-01,Tsinghua,Trade_Total,3,1.61834301030425,0.178984068858458,2,0,0.00918710406462266,389,11
36,3,2005-07-01,Tsinghua,Trade_Total,6,2.65270044910105,0.129239385892866,2,0,0.0135272993599927,386,11
36,3,2005-07-01,Tsinghua,Trade_Total,12,6.47472824148718,0.0558710530447699,10,0,0.0271943299991665,380,11
36,3,2005-07-01,Tsinghua,Trade_Exports,3,1.77579135745391,0.282946670025615,3,0,0.00707637420731909,389,11
36,3,2005-07-01,Tsinghua,Trade_Exports,6,3.97685350691612,0.105991900213514,6,0,0.0186308728377333,386,11
36,3,2005-07-01,Tsinghua,Trade_Exports,12,7.28738457259007,0.0127930171482061,7,2,0.0483102843712388,380,11
36,3,2005-07-01,Tsinghua,Trade_Imports,3,1.72414237065139,0.23920916648249,3,1,0.0253106711662029,389,11
36,3,2005-07-01,Tsinghua,Trade_Imports,6,3.48961593423092,0.136724939794862,5,0,0.0400548189466258,386,11
36,3,2005-07-01,Tsinghua,Trade_Imports,12,5.81058217920253,0.0528890588000851,6,2,0.0592190495365694,380,11
36,4,2006-07-01,GDELT,Trade_Total,3,1.47831515164929,0.322412912467265,3,0,0.0140471910339821,825,23
36,4,2006-07-01,GDELT,Trade_Total,6,2.75420319775937,0.222073995926334,0,1,0.0212709611824625,822,23
36,4,2006-07-01,GDELT,Trade_Total,12,5.56144190083649,0.121647326290043,8,0,0.0352970497681247,813,23
36,4,2006-07-01,GDELT,Trade_Exports,3,1.6618787573939,0.331929756294854,3,0,0.0054661546738099,825,23
36,4,2006-07-01,GDELT,Trade_Exports,6,3.59455592626694,0.139473268016768,5,0,0.0130264211611723,822,23
36,4,2006-07-01,GDELT,Trade_Exports,12,7.19661817033546,0.0284487857828736,8,1,0.0356392550003248,813,23
36,4,2006-07-01,GDELT,Trade_Imports,3,1.52822149306867,0.250178094261815,3,0,0.0207838925926464,825,23
36,4,2006-07-01,GDELT,Trade_Imports,6,2.5538372627915,0.210376495660125,6,1,0.0278698539539057,822,23
36,4,2006-07-01,GDELT,Trade_Imports,12,4.51503151069038,0.157508987173086,6,1,0.038736991069216,813,23
36,4,2006-07-01,ICEWS,Trade_Total,3,1.73182554148457,0.375123174578297,3,1,0.0149586199907746,825,23
36,4,2006-07-01,ICEWS,Trade_Total,6,2.78157088310953,0.220194062666205,4,2,0.0244652934113993,822,23
36,4,2006-07-01,ICEWS,Trade_Total,12,6.24318562697399,0.100421667337263,4,3,0.0475416551665584,813,23
36,4,2006-07-01,ICEWS,Trade_Exports,3,1.91163711072832,0.287361670860114,3,1,0.0169644739232385,825,23
36,4,2006-07-01,ICEWS,Trade_Exports,6,2.93185159434672,0.176395378907537,4,2,0.026855621012449,822,23
36,4,2006-07-01,ICEWS,Trade_Exports,12,6.26752385706277,0.0685392863638477,4,3,0.051868367730358,813,23
36,4,2006-07-01,ICEWS,Trade_Imports,3,1.37682831220092,0.400071602032145,0,0,0.0177523264700448,825,23
36,4,2006-07-01,ICEWS,Trade_Imports,6,2.55401415250321,0.239028258946842,4,0,0.0285392582197886,822,23
36,4,2006-07-01,ICEWS,Trade_Imports,12,6.54064161706845,0.112117178063887,12,3,0.0623419687390289,813,23
