window_length,lag_order,db,trade,mean_avg_lag,sd_avg_lag,median_avg_lag,mean_peak_lag,n_window
36,6,Phoenix,Trade_Exports,2.6991289128221,0.534773915109501,2.68023519942948,1.38888888888889,18
36,12,Phoenix,Trade_Exports,5.67538393945915,0.760871522259714,5.54117837838344,3,18
36,3,Phoenix,Trade_Imports,1.53582316386391,0.591371548333448,1.49195765120379,1.55555555555556,18
36,6,Phoenix,Trade_Imports,3.15093430472501,0.577829153486456,3.35007631184374,3.05555555555556,18
36,12,Phoenix,Trade_Imports,5.87076383476121,1.07998200711431,5.76794295874523,4.61111111111111,18
36,3,Tsinghua,Trade_Total,1.62553359188043,0.336175458257285,1.61354716028404,1.77272727272727,22
36,6,Tsinghua,Trade_Total,3.24243339438681,0.650758635501374,3.15570138647866,3.81818181818182,22
36,12,Tsinghua,Trade_Total,5.83814628441403,0.538996641431234,5.95789663666608,5.13636363636364,22
36,3,Tsinghua,Trade_Exports,1.54976544540215,0.355078124932493,1.62894105328119,1.59090909090909,22
36,6,Tsinghua,Trade_Exports,3.35762836788126,0.724598565108401,3.38521907994669,3.81818181818182,22
36,12,Tsinghua,Trade_Exports,5.91655213165378,0.914894460222743,5.91543485389367,4.68181818181818,22
36,3,Tsinghua,Trade_Imports,1.71585408291048,0.41340749537966,1.6911857690571,2.18181818181818,22
36,6,Tsinghua,Trade_Imports,3.28608057573946,0.52495349973371,3.31455591975948,3.27272727272727,22
36,12,Tsinghua,Trade_Imports,5.58048859569315,0.841871019728806,5.61570783638458,5.40909090909091,22
60,3,GDELT,Trade_Total,1.31981696471315,0.391530402262756,1.32282549812185,1.05,20
60,6,GDELT,Trade_Total,3.26054489730218,0.845486796023989,3.24995368142483,3.55,20
60,12,GDELT,Trade_Total,6.17500863124283,1.04854140691624,6.53914378034433,6.4,20
60,3,GDELT,Trade_Exports,1.59959222968337,0.51479816788285,1.61131185647868,1.75,20
60,6,GDELT,Trade_Exports,3.03540899178681,0.749236107051262,3.01589440824455,3.5,20
60,12,GDELT,Trade_Exports,5.5509243917408,0.885372047635317,5.68908155109622,5.75,20
60,3,GDELT,Trade_Imports,1.40893587701777,0.383933265758609,1.48971705936774,1.55,20
60,6,GDELT,Trade_Imports,3.12983864182461,0.715256686785996,3.19380394319848,3.55,20
60,12,GDELT,Trade_Imports,5.917489811884,1.41401537099884,5.98090180884314,6.35,20
60,3,ICEWS,Trade_Total,1.69597467480287,0.288690514145452,1.72723506269106,2.05,20
60,6,ICEWS,Trade_Total,3.00264684605679,0.34678536306355,3.02405760584537,2.95,20
60,12,ICEWS,Trade_Total,5.94303429894999,0.703555477128555,5.75900209633287,5.8,20
60,3,ICEWS,Trade_Exports,1.66293854407678,0.32314006369217,1.69040940593018,1.9,20
60,6,ICEWS,Trade_Exports,2.96514153661416,0.403551664220386,2.88403307322301,2.65,20
60,12,ICEWS,Trade_Exports,5.84796445761958,0.791053476119297,5.89309848529498,6.45,20
60,3,ICEWS,Trade_Imports,1.6426281366946,0.422342652671175,1.69176765582635,1.85,20
60,6,ICEWS,Trade_Imports,3.00894178500547,0.48080154253222,2.93866685980497,3.25,20
60,12,ICEWS,Trade_Imports,5.84289623235868,0.980872321935709,5.58403963925358,6.45,20
60,3,Phoenix,Trade_Total,1.46008970605525,0.505975611127333,1.51008700853407,1.33333333333333,18
60,6,Phoenix,Trade_Total,3.02377892483383,0.795251806278202,3.18131226555029,3.66666666666667,18
60,12,Phoenix,Trade_Total,5.94676259815839,1.14411650881383,5.94854304415972,6.94444444444445,18
60,3,Phoenix,Trade_Exports,1.14743900638355,0.35447470757503,1.02202152257795,0.833333333333333,18
60,6,Phoenix,Trade_Exports,2.51074052976175,0.459198289823331,2.40894817922659,1.61111111111111,18
60,12,Phoenix,Trade_Exports,5.56768512831318,0.92694689955723,5.56825191482438,3.05555555555556,18
60,3,Phoenix,Trade_Imports,1.3800930740546,0.410183031406844,1.41760778934527,1.05555555555556,18
60,6,Phoenix,Trade_Imports,2.78178140762493,0.551413876586921,2.89863557304438,2.22222222222222,18
