h,estimate,se,pvalue,n,n_country,window_id,window_length,window_midpoint,db,trade,lag_order
7,0.00648774239276652,0.00338137377059093,0.0550260363260236,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
8,0.00285714492438048,0.00334382316402673,0.392853180761891,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
9,0.00673295474304105,0.00440190244449422,0.126126754969277,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
10,-0.00232156266848299,0.00534577174023776,0.664085000878829,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
11,-0.00257451839229876,0.00417570390623285,0.537533455225984,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
12,-0.00257917536930628,0.00459386233644893,0.574498022785957,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
0,0.0055571634158824,0.00425130212317757,0.191155874779203,691,22,1,36,2003-07-01,ICEWS,Trade_Total,3
1,0.00380156820760267,0.00280887563738455,0.175923794332448,691,22,1,36,2003-07-01,ICEWS,Trade_Total,3
2,-0.00130432614592107,0.00426432408226247,0.759704103626255,691,22,1,36,2003-07-01,ICEWS,Trade_Total,3
3,-0.000142083324642503,0.0038545271229432,0.970595505041954,691,22,1,36,2003-07-01,ICEWS,Trade_Total,3
0,0.00437922768066862,0.00393305258354137,0.265518454653648,625,22,1,36,2003-07-01,ICEWS,Trade_Total,6
1,0.00343020746927296,0.002534007938099,0.17584206829284,625,22,1,36,2003-07-01,ICEWS,Trade_Total,6
2,-0.00233003128529381,0.00349532981359258,0.505019547332454,625,22,1,36,2003-07-01,ICEWS,Trade_Total,6
3,-0.00258116087697173,0.00392333710357445,0.510602817095737,625,22,1,36,2003-07-01,ICEWS,Trade_Total,6
4,-0.00132283031603568,0.00234744984450623,0.573082184998675,625,22,1,36,2003-07-01,ICEWS,Trade_Total,6
5,0.00266975528092056,0.0040577033378456,0.510571943828526,625,22,1,36,2003-07-01,ICEWS,Trade_Total,6
6,0.00264041362145353,0.00258588979545259,0.307214106919331,625,22,1,36,2003-07-01,ICEWS,Trade_Total,6
0,0.00553397114375022,0.00400613907798081,0.167164396243474,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
1,0.00301191026555905,0.00305447708706957,0.324101648385726,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
2,-0.000132442454922246,0.00330950722197067,0.968078150758976,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
3,-0.00334541394560566,0.00286992316969044,0.243743580837185,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
4,0.00104964778865131,0.0029206120609923,0.719301044480508,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
5,0.00165874509204095,0.00429126656901682,0.699096972053212,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
6,0.00046904205746713,0.002841859485444,0.868906524736999,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
7,0.00568421166824863,0.00375532184697342,0.130116743960671,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
8,0.00489096585081966,0.00291215071111109,0.0930540550106921,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
9,0.00176658555540586,0.00461729217650182,0.70201483345651,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
10,0.0014276483407423,0.0035650130780146,0.688817077697592,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
11,0.00281921233519405,0.00376932083265016,0.454498507569109,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
12,0.0140368262846662,0.0029773398574853,2.42242055806355e-06,496,21,1,36,2003-07-01,ICEWS,Trade_Total,12
0,0.00557079462892246,0.00432752628192043,0.197992155190133,691,22,1,36,2003-07-01,ICEWS,Trade_Exports,3
1,0.0075159834329639,0.00263889874119872,0.00439739843037082,691,22,1,36,2003-07-01,ICEWS,Trade_Exports,3
2,-0.00314242968506843,0.00533572044976574,0.555900205577745,691,22,1,36,2003-07-01,ICEWS,Trade_Exports,3
3,0.000133881186180866,0.00579713568880842,0.981574998004177,691,22,1,36,2003-07-01,ICEWS,Trade_Exports,3
0,0.00599979017449945,0.00447441171929513,0.179949184786194,625,22,1,36,2003-07-01,ICEWS,Trade_Exports,6
1,0.00512688173764078,0.00224185805983088,0.0222022715619485,625,22,1,36,2003-07-01,ICEWS,Trade_Exports,6
2,-0.0044572802598815,0.00517178422287186,0.388772404615851,625,22,1,36,2003-07-01,ICEWS,Trade_Exports,6
3,-0.00080985880257884,0.00618414971220935,0.895809181581252,625,22,1,36,2003-07-01,ICEWS,Trade_Exports,6
4,-0.00214312729987933,0.00495432429570959,0.665322019617482,625,22,1,36,2003-07-01,ICEWS,Trade_Exports,6
5,-0.0016660595104648,0.00498821401551068,0.73838015934364,625,22,1,36,2003-07-01,ICEWS,Trade_Exports,6
6,-0.000185430681422989,0.00276117626275307,0.946457187607944,625,22,1,36,2003-07-01,ICEWS,Trade_Exports,6
0,0.00979191989069806,0.00277906314223884,0.00042595018773351,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
1,0.00486999126353414,0.00447660232563111,0.276649553477775,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
2,-0.00385125675081683,0.00511618663827213,0.45159460601576,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
3,-0.00213407645833852,0.00588597481860174,0.716926305686918,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
4,-0.000999544135241984,0.00555528960519922,0.857210225472461,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
5,-0.00372550536728396,0.00522596605354247,0.475917803224409,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
6,0.000240491440690087,0.00338731536620655,0.943399623479562,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
7,0.00108237693665484,0.00579206586534131,0.851760721893455,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
8,0.0078541817614901,0.00393141176199575,0.0457381447716696,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
9,0.005122774606996,0.00601603036174254,0.394480149020857,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
10,-0.000908725559671063,0.00373795207083034,0.807921836034729,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
11,0.00067467338343069,0.00354909069283803,0.84923270358406,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
12,0.0145652950297009,0.00424376864442306,0.000598793114821374,496,21,1,36,2003-07-01,ICEWS,Trade_Exports,12
0,0.00303507258166252,0.00565280339690324,0.591326616915197,691,22,1,36,2003-07-01,ICEWS,Trade_Imports,3
1,0.00115005741574484,0.00589342415183149,0.845281406082403,691,22,1,36,2003-07-01,ICEWS,Trade_Imports,3
2,0.000594782211617037,0.00405219143066402,0.883305368780555,691,22,1,36,2003-07-01,ICEWS,Trade_Imports,3
3,0.000189075077597886,0.00567812581196312,0.973436268305246,691,22,1,36,2003-07-01,ICEWS,Trade_Imports,3
0,0.000929503275839961,0.00497175627121743,0.851694562144843,625,22,1,36,2003-07-01,ICEWS,Trade_Imports,6
1,0.00312111388152404,0.00521138719967063,0.549237768692454,625,22,1,36,2003-07-01,ICEWS,Trade_Imports,6
