window_id,db,trade,pol_var,avg_response_lag,immediate_share,peak_lag,sig_lags_count,method,sum_abs_coef,n,n_country,window_midpoint
3,ICEWS,Trade_Imports,Pol_CHN_Partner,3.3146168297769,0.0463268166981153,4,1,Raw,,,,
3,ICEWS,Trade_Imports,Pol_Partner_CHN,2.17025751018033,0.269469910453621,0,0,Raw,,,,
3,Phoenix,Trade_Total,Pol_Agg,3.68664987819006,0.172292081364598,5,1,Raw,,,,
3,Phoenix,Trade_Total,Pol_CHN_Partner,3.25932056690683,0.115535884655694,1,1,Raw,,,,
3,Phoenix,Trade_Total,Pol_Partner_CHN,2.88537869610549,0.19529452630731,4,0,Raw,,,,
3,Phoenix,Trade_Exports,Pol_Agg,2.8723823097246,0.161292117108228,3,0,Raw,,,,
3,Phoenix,Trade_Exports,Pol_CHN_Partner,2.92612482103255,0.116780977319347,3,1,Raw,,,,
3,Phoenix,Trade_Exports,Pol_Partner_CHN,2.75458982523322,0.146412842905937,3,0,Raw,,,,
3,Phoenix,Trade_Imports,Pol_Agg,3.6990448884232,0.0746540172151958,5,0,Raw,,,,
3,Phoenix,Trade_Imports,Pol_CHN_Partner,3.21210317898629,0.205919103400485,5,1,Raw,,,,
3,Phoenix,Trade_Imports,Pol_Partner_CHN,3.02257518067214,0.0373988408482314,1,0,Raw,,,,
3,Tsinghua,Trade_Total,Pol_Agg,3.25662738885207,0.0241002638753411,3,2,Raw,,,,
3,Tsinghua,Trade_Exports,Pol_Agg,3.41833926092064,0.0485296257619016,3,1,Raw,,,,
3,Tsinghua,Trade_Imports,Pol_Agg,3.32573862321981,0.163513472936859,5,1,Raw,,,,
4,GDELT,Trade_Total,Pol_Agg,3.34189914863362,0.134537381423361,6,0,Raw,,,,
4,GDELT,Trade_Total,Pol_CHN_Partner,4.08540672198457,0.0811274691031622,6,0,Raw,,,,
4,GDELT,Trade_Total,Pol_Partner_CHN,2.74857755282018,0.171977152033443,6,0,Raw,,,,
4,GDELT,Trade_Exports,Pol_Agg,2.90146329590651,0.149569395348085,3,1,Raw,,,,
4,GDELT,Trade_Exports,Pol_CHN_Partner,3.96773157216957,0.0137956903468969,5,0,Raw,,,,
4,GDELT,Trade_Exports,Pol_Partner_CHN,2.53492657881835,0.146211806503485,3,1,Raw,,,,
4,GDELT,Trade_Imports,Pol_Agg,4.34134497078217,0.0892183835242498,6,0,Raw,,,,
4,GDELT,Trade_Imports,Pol_CHN_Partner,4.70761401463772,0.0645381379790179,6,0,Raw,,,,
4,GDELT,Trade_Imports,Pol_Partner_CHN,3.46182422768729,0.18522860277713,6,0,Raw,,,,
4,ICEWS,Trade_Total,Pol_Agg,2.96140566992236,0.154388615995762,3,3,Raw,,,,
4,ICEWS,Trade_Total,Pol_CHN_Partner,2.79438461769903,0.126547440067181,4,0,Raw,,,,
4,ICEWS,Trade_Total,Pol_Partner_CHN,2.55068701150635,0.251673894331086,0,3,Raw,,,,
4,ICEWS,Trade_Exports,Pol_Agg,2.95631922908399,0.120799316987409,4,4,Raw,,,,
4,ICEWS,Trade_Exports,Pol_CHN_Partner,2.67927539975641,0.131310098198245,4,2,Raw,,,,
4,ICEWS,Trade_Exports,Pol_Partner_CHN,2.81236083019067,0.193783409643251,3,3,Raw,,,,
4,ICEWS,Trade_Imports,Pol_Agg,2.82299884874917,0.288094289816618,0,0,Raw,,,,
4,ICEWS,Trade_Imports,Pol_CHN_Partner,2.8498585680303,0.201599333246347,4,0,Raw,,,,
4,ICEWS,Trade_Imports,Pol_Partner_CHN,2.02773729977421,0.417599596777188,0,0,Raw,,,,
4,Phoenix,Trade_Total,Pol_Agg,3.58908002286077,0.194380843265464,6,0,Raw,,,,
